Table Name,Entity/Table Owner,Column Name,Domain,Column Datatype,Column Null Option,Primary Key,Restricted,PII,HashKey
invoice_term,dbo,invoice_item_seq_id,,varchar(40),NOT NULL,Yes,,,Yes
invoice_term,dbo,settlement_term_id,,varchar(40),NOT NULL,Yes,,,Yes
invoice_term,dbo,last_updated_stamp,,datetime,NULL,No,,,
system_message_enum_map,dbo,system_message_remote_id,,varchar(40),NOT NULL,Yes,,,Yes
system_message_enum_map,dbo,enum_id,,varchar(40),NOT NULL,Yes,,,Yes
system_message_enum_map,dbo,mapped_value,,varchar(63),NULL,No,,,
system_message_enum_map,dbo,last_updated_stamp,,datetime,NULL,No,,,
form_config_user_group,dbo,form_config_id,,varchar(40),NOT NULL,Yes,,,Yes
form_config_user_group,dbo,user_group_id,,varchar(40),NOT NULL,Yes,,,Yes
form_config_user_group,dbo,last_updated_stamp,,datetime,NULL,No,,,
screen_document,dbo,screen_location,,nvarchar(80),NOT NULL,Yes,,,Yes
screen_document,dbo,doc_index,,"numeric(20,0)",NOT NULL,Yes,,,Yes
screen_document,dbo,locale,,varchar(63),NULL,No,,,
screen_document,dbo,doc_title,,text,NULL,No,,,
screen_document,dbo,doc_location,,text,NULL,No,,,
screen_document,dbo,last_updated_stamp,,datetime,NULL,No,,,
employee,dbo,party_id,,varchar(40),NOT NULL,Yes,,,Yes
employee,dbo,dist_group_enum_id,,varchar(40),NULL,No,,,
employee,dbo,tax_form_id,,varchar(40),NULL,No,,,
employee,dbo,tax_classification_enum_id,,varchar(40),NULL,No,,,
employee,dbo,tax_name,,text,NULL,No,,Yes,
employee,dbo,tax_middle_name,,text,NULL,No,,Yes,
employee,dbo,tax_last_name,,text,NULL,No,,Yes,
employee,dbo,tax_name_suffix,,text,NULL,No,,,
employee,dbo,tax_business_name,,text,NULL,No,,,
employee,dbo,tax_home_contact_mech_id,,varchar(40),NULL,No,,,
employee,dbo,tax_exempt_payee_code,,varchar(63),NULL,No,,,
employee,dbo,tax_exempt_fatca_code,,varchar(63),NULL,No,,,
employee,dbo,tax_account_numbers,,text,NULL,No,Yes,,
employee,dbo,tax_federal_status_enum_id,,varchar(40),NULL,No,,,
employee,dbo,tax_state_status_enum_id,,varchar(40),NULL,No,,,
employee,dbo,tax_ytd_prior_income,,"numeric(24,4)",NULL,No,,,
employee,dbo,tax_federal_allowances,,"numeric(20,0)",NULL,No,,,
employee,dbo,tax_state_allowances,,"numeric(20,0)",NULL,No,,,
employee,dbo,last_updated_stamp,,datetime,NULL,No,,,
rate_amount,dbo,rate_amount_id,,varchar(40),NOT NULL,Yes,,,Yes
rate_amount,dbo,from_date,,datetime,NULL,No,,,
rate_amount,dbo,thru_date,,datetime,NULL,No,,,
rate_amount,dbo,rate_type_enum_id,,varchar(40),NULL,No,,,
rate_amount,dbo,rate_purpose_enum_id,,varchar(40),NULL,No,,,
rate_amount,dbo,rate_currency_uom_id,,varchar(40),NULL,No,,,
rate_amount,dbo,time_period_uom_id,,varchar(40),NULL,No,,,
rate_amount,dbo,work_effort_id,,varchar(40),NULL,No,,,
rate_amount,dbo,party_id,,varchar(40),NULL,No,,,
rate_amount,dbo,work_type_enum_id,,varchar(40),NULL,No,,,
rate_amount,dbo,pay_grade_id,,varchar(40),NULL,No,,,
rate_amount,dbo,empl_position_class_id,,varchar(40),NULL,No,,,
rate_amount,dbo,rate_amount,,"numeric(26,6)",NULL,No,,,
rate_amount,dbo,last_updated_stamp,,datetime,NULL,No,,,
credit_profile_attribute_default,dbo,attribute_code,,varchar(40),NOT NULL,Yes,,,Yes
credit_profile_attribute_default,dbo,credit_bureau_enum_id,,varchar(40),NOT NULL,Yes,,,Yes
credit_profile_attribute_default,dbo,default_value,,varchar(63),NOT NULL,Yes,,,Yes
credit_profile_attribute_default,dbo,description,,text,NULL,No,,,
credit_profile_attribute_default,dbo,last_updated_stamp,,datetime,NULL,No,,,
product_class_feature,dbo,product_class_enum_id,,varchar(40),NOT NULL,Yes,,,Yes
product_class_feature,dbo,product_feature_type_enum_id,,varchar(40),NOT NULL,Yes,,,Yes
product_class_feature,dbo,last_updated_stamp,,datetime,NULL,No,,,
asset_pool_party,dbo,asset_pool_id,,varchar(40),NOT NULL,Yes,,,Yes
asset_pool_party,dbo,party_id,,varchar(40),NOT NULL,Yes,,,Yes
asset_pool_party,dbo,role_type_id,,varchar(40),NULL,No,,,
asset_pool_party,dbo,last_updated_stamp,,datetime,NULL,No,,,
pay_pal_account,dbo,payment_method_id,,varchar(40),NOT NULL,Yes,,,Yes
pay_pal_account,dbo,payer_id,,varchar(40),NULL,No,,,
pay_pal_account,dbo,express_checkout_token,,varchar(63),NULL,No,,,
pay_pal_account,dbo,payer_status,,varchar(63),NULL,No,,,
pay_pal_account,dbo,avs_addr,,char(1),NULL,No,,,
pay_pal_account,dbo,avs_zip,,char(1),NULL,No,,,
pay_pal_account,dbo,correlation_id,,varchar(63),NULL,No,,,
pay_pal_account,dbo,transaction_id,,varchar(63),NULL,No,,,
pay_pal_account,dbo,last_updated_stamp,,datetime,NULL,No,,,
work_effort_product,dbo,work_effort_id,,varchar(40),NOT NULL,Yes,,,Yes
work_effort_product,dbo,product_id,,varchar(40),NOT NULL,Yes,,,Yes
work_effort_product,dbo,from_date,,datetime,NOT NULL,Yes,,,Yes
work_effort_product,dbo,thru_date,,datetime,NULL,No,,,
work_effort_product,dbo,type_enum_id,,varchar(40),NULL,No,,,
work_effort_product,dbo,status_id,,varchar(40),NULL,No,,,
work_effort_product,dbo,estimated_quantity,,"numeric(26,6)",NULL,No,,,
work_effort_product,dbo,estimated_cost,,"numeric(24,4)",NULL,No,,,
work_effort_product,dbo,last_updated_stamp,,datetime,NULL,No,,,
order_decision,dbo,order_id,,varchar(40),NOT NULL,Yes,,,Yes
order_decision,dbo,decision_date,,datetime,NOT NULL,Yes,,,Yes
order_decision,dbo,decision_by_party_id,,varchar(40),NULL,No,,,
order_decision,dbo,status_id,,varchar(40),NULL,No,,,
order_decision,dbo,invalidated_date,,datetime,NULL,No,,,
order_decision,dbo,approved_amount,,"numeric(26,6)",NULL,No,,,
order_decision,dbo,last_updated_stamp,,datetime,NULL,No,,,
uom,dbo,uom_id,,varchar(40),NOT NULL,Yes,,,Yes
uom,dbo,uom_type_enum_id,,varchar(40),NULL,No,,,
uom,dbo,abbreviation,,varchar(63),NULL,No,,,
uom,dbo,description,,text,NULL,No,,,
uom,dbo,last_updated_stamp,,datetime,NULL,No,,,
id_vision_case,dbo,case_id,,varchar(40),NOT NULL,Yes,,,Yes
id_vision_case,dbo,id_vision_case_id,,text,NULL,No,,,
id_vision_case,dbo,id_vision_session_id,,text,NULL,No,,,
id_vision_case,dbo,party_id,,varchar(40),NULL,No,,,
id_vision_case,dbo,order_id,,varchar(40),NULL,No,,,
id_vision_case,dbo,init_date,,datetime,NULL,No,,,
id_vision_case,dbo,system_message_remote_id,,varchar(40),NULL,No,,,
id_vision_case,dbo,user_id,,varchar(40),NULL,No,,,
id_vision_case,dbo,last_updated_stamp,,datetime,NULL,No,,,
shipment_party,dbo,shipment_id,,varchar(40),NOT NULL,Yes,,,Yes
shipment_party,dbo,party_id,,varchar(40),NOT NULL,Yes,,,Yes
shipment_party,dbo,role_type_id,,varchar(40),NOT NULL,Yes,,,Yes
shipment_party,dbo,last_updated_stamp,,datetime,NULL,No,,,
facility_note,dbo,facility_id,,varchar(40),NOT NULL,Yes,,,Yes
facility_note,dbo,note_date,,datetime,NOT NULL,Yes,,,Yes
facility_note,dbo,user_id,,varchar(40),NULL,No,,,
facility_note,dbo,note_text,,text,NULL,No,,,
facility_note,dbo,last_updated_stamp,,datetime,NULL,No,,,
ruleset_condition_set,dbo,ruleset_id,,varchar(40),NOT NULL,Yes,,,Yes
ruleset_condition_set,dbo,condition_set_id,,varchar(40),NOT NULL,Yes,,,Yes
ruleset_condition_set,dbo,last_updated_stamp,,datetime,NULL,No,,,
db_view_entity_member,dbo,db_view_entity_name,,nvarchar(80),NOT NULL,Yes,,,Yes
db_view_entity_member,dbo,entity_alias,,varchar(63),NOT NULL,Yes,,,Yes
db_view_entity_member,dbo,entity_name,,text,NULL,No,,,
db_view_entity_member,dbo,join_from_alias,,varchar(63),NULL,No,,,
db_view_entity_member,dbo,join_optional,,char(1),NULL,No,,,
db_view_entity_member,dbo,last_updated_stamp,,datetime,NULL,No,,,
product_price,dbo,product_price_id,,varchar(40),NOT NULL,Yes,,,Yes
product_price,dbo,product_id,,varchar(40),NOT NULL,No,,,
product_price,dbo,product_store_id,,varchar(40),NULL,No,,,
product_price,dbo,vendor_party_id,,varchar(40),NULL,No,,,
product_price,dbo,customer_party_id,,varchar(40),NULL,No,,,
product_price,dbo,price_type_enum_id,,varchar(40),NULL,No,,,
product_price,dbo,price_purpose_enum_id,,varchar(40),NULL,No,,,
product_price,dbo,from_date,,datetime,NULL,No,,,
product_price,dbo,thru_date,,datetime,NULL,No,,,
product_price,dbo,min_quantity,,"numeric(26,6)",NULL,No,,,
product_price,dbo,price,,"numeric(25,5)",NULL,No,,,
product_price,dbo,price_uom_id,,varchar(40),NULL,No,,,
product_price,dbo,term_uom_id,,varchar(40),NULL,No,,,
product_price,dbo,tax_in_price,,char(1),NULL,No,,,
product_price,dbo,tax_amount,,"numeric(25,5)",NULL,No,,,
product_price,dbo,tax_percentage,,"numeric(26,6)",NULL,No,,,
product_price,dbo,tax_authority_id,,varchar(40),NULL,No,,,
product_price,dbo,agreement_id,,varchar(40),NULL,No,,,
product_price,dbo,agreement_item_seq_id,,varchar(40),NULL,No,,,
product_price,dbo,other_party_item_name,,text,NULL,No,,,
product_price,dbo,other_party_item_id,,varchar(63),NULL,No,,,
product_price,dbo,comments,,text,NULL,No,,,
product_price,dbo,quantity_increment,,"numeric(26,6)",NULL,No,,,
product_price,dbo,quantity_included,,"numeric(26,6)",NULL,No,,,
product_price,dbo,quantity_uom_id,,varchar(40),NULL,No,,,
product_price,dbo,preferred_order_enum_id,,varchar(40),NULL,No,,,
product_price,dbo,supplier_rating_type_enum_id,,varchar(40),NULL,No,,,
product_price,dbo,standard_lead_time_days,,"numeric(26,6)",NULL,No,,,
product_price,dbo,can_drop_ship,,char(1),NULL,No,,,
product_price,dbo,last_updated_stamp,,datetime,NULL,No,,,
product_store_group_party,dbo,product_store_group_id,,varchar(40),NOT NULL,Yes,,,Yes
product_store_group_party,dbo,party_id,,varchar(40),NOT NULL,Yes,,,Yes
product_store_group_party,dbo,role_type_id,,varchar(40),NOT NULL,Yes,,,Yes
product_store_group_party,dbo,from_date,,datetime,NOT NULL,Yes,,,Yes
product_store_group_party,dbo,thru_date,,datetime,NULL,No,,,
product_store_group_party,dbo,last_updated_stamp,,datetime,NULL,No,,,
communication_event_content,dbo,communication_event_content_id,,varchar(40),NOT NULL,Yes,,,Yes
communication_event_content,dbo,communication_event_id,,varchar(40),NULL,No,,,
communication_event_content,dbo,content_location,,text,NULL,No,,,
communication_event_content,dbo,content_type_enum_id,,varchar(40),NULL,No,,,
communication_event_content,dbo,description,,text,NULL,No,,,
communication_event_content,dbo,content_date,,datetime,NULL,No,,,
communication_event_content,dbo,user_id,,varchar(40),NULL,No,,,
communication_event_content,dbo,sequence_num,,"numeric(20,0)",NULL,No,,,
communication_event_content,dbo,last_updated_stamp,,datetime,NULL,No,,,
plaid_access_token,dbo,party_id,,varchar(40),NOT NULL,Yes,,,Yes
plaid_access_token,dbo,order_id,,varchar(40),NOT NULL,Yes,,,Yes
plaid_access_token,dbo,item_id,,nvarchar(80),NOT NULL,Yes,,,Yes
plaid_access_token,dbo,access_token,,text,NULL,No,,,
plaid_access_token,dbo,account_id,,text,NULL,No,,,
plaid_access_token,dbo,account_type,,varchar(63),NULL,No,,,
plaid_access_token,dbo,institution_id,,varchar(63),NULL,No,,,
plaid_access_token,dbo,institution_name,,varchar(63),NULL,No,,,
plaid_access_token,dbo,creation_date,,datetime,NULL,No,,,
plaid_access_token,dbo,last_updated_stamp,,datetime,NULL,No,,,
artifact_group,dbo,artifact_group_id,,varchar(40),NOT NULL,Yes,,,Yes
artifact_group,dbo,description,,text,NULL,No,,,
artifact_group,dbo,last_updated_stamp,,datetime,NULL,No,,,
party_citizenship,dbo,party_id,,varchar(40),NOT NULL,Yes,,,Yes
party_citizenship,dbo,geo_id,,varchar(40),NOT NULL,Yes,,,Yes
party_citizenship,dbo,from_date,,datetime,NOT NULL,Yes,,,Yes
party_citizenship,dbo,thru_date,,datetime,NULL,No,,,
party_citizenship,dbo,sequence_num,,"numeric(20,0)",NULL,No,,,
party_citizenship,dbo,last_updated_stamp,,datetime,NULL,No,,,
wiki_page_request,dbo,wiki_page_id,,varchar(40),NOT NULL,Yes,,,Yes
wiki_page_request,dbo,request_id,,varchar(40),NOT NULL,Yes,,,Yes
wiki_page_request,dbo,last_updated_stamp,,datetime,NULL,No,,,
market_segment_condition_set,dbo,market_segment_id,,varchar(40),NOT NULL,Yes,,,Yes
market_segment_condition_set,dbo,condition_set_id,,varchar(40),NOT NULL,Yes,,,Yes
market_segment_condition_set,dbo,last_updated_stamp,,datetime,NULL,No,,,
tax_authority_category,dbo,tax_authority_id,,varchar(40),NOT NULL,Yes,,,Yes
tax_authority_category,dbo,product_category_id,,varchar(40),NOT NULL,Yes,,,Yes
tax_authority_category,dbo,last_updated_stamp,,datetime,NULL,No,,,
payroll_adj_calc_service,dbo,adj_calc_service_id,,varchar(40),NOT NULL,Yes,,,Yes
payroll_adj_calc_service,dbo,organization_party_id,,varchar(40),NULL,No,,,
payroll_adj_calc_service,dbo,payroll_phase_enum_id,,varchar(40),NULL,No,,,
payroll_adj_calc_service,dbo,description,,text,NULL,No,,,
payroll_adj_calc_service,dbo,service_register_id,,varchar(40),NOT NULL,No,,,
payroll_adj_calc_service,dbo,sequence_num,,"numeric(20,0)",NULL,No,,,
payroll_adj_calc_service,dbo,last_updated_stamp,,datetime,NULL,No,,,
agreement_party,dbo,agreement_id,,varchar(40),NOT NULL,Yes,,,Yes
agreement_party,dbo,party_id,,varchar(40),NOT NULL,Yes,,,Yes
agreement_party,dbo,role_type_id,,varchar(40),NOT NULL,Yes,,,Yes
agreement_party,dbo,last_updated_stamp,,datetime,NULL,No,,,
order_resolution_type,dbo,order_resolution_type_id,,varchar(40),NOT NULL,Yes,,,Yes
order_resolution_type,dbo,decision_type_enum_id,,varchar(40),NULL,No,,,
order_resolution_type,dbo,description,,text,NULL,No,,,
order_resolution_type,dbo,last_updated_stamp,,datetime,NULL,No,,,
user_screen_theme,dbo,user_id,,varchar(40),NOT NULL,Yes,,,Yes
user_screen_theme,dbo,screen_theme_type_enum_id,,varchar(40),NOT NULL,Yes,,,Yes
user_screen_theme,dbo,screen_theme_id,,varchar(40),NULL,No,,,
user_screen_theme,dbo,last_updated_stamp,,datetime,NULL,No,,,
invoice_item_detail,dbo,invoice_item_detail_id,,varchar(40),NOT NULL,Yes,,,Yes
invoice_item_detail,dbo,invoice_id,,varchar(40),NOT NULL,No,,,
invoice_item_detail,dbo,invoice_item_seq_id,,varchar(40),NOT NULL,No,,,
invoice_item_detail,dbo,facility_id,,varchar(40),NULL,No,,,
invoice_item_detail,dbo,asset_id,,varchar(40),NULL,No,,,
invoice_item_detail,dbo,party_id,,varchar(40),NULL,No,,,
invoice_item_detail,dbo,work_effort_id,,varchar(40),NULL,No,,,
invoice_item_detail,dbo,quantity,,"numeric(26,6)",NULL,No,,,
invoice_item_detail,dbo,last_updated_stamp,,datetime,NULL,No,,,
subscription_resource,dbo,subscription_resource_id,,varchar(40),NOT NULL,Yes,,,Yes
subscription_resource,dbo,parent_resource_id,,varchar(40),NULL,No,,,
subscription_resource,dbo,description,,text,NULL,No,,,
subscription_resource,dbo,content_location,,text,NULL,No,,,
subscription_resource,dbo,remote_resource_id,,text,NULL,No,,,
subscription_resource,dbo,init_service_name,,text,NULL,No,,,
subscription_resource,dbo,renew_service_name,,text,NULL,No,,,
subscription_resource,dbo,revoke_access_time,,"numeric(20,0)",NULL,No,,,
subscription_resource,dbo,revoke_access_time_uom_id,,varchar(40),NULL,No,,,
subscription_resource,dbo,revoke_access_service_name,,text,NULL,No,,,
subscription_resource,dbo,restore_access_service_name,,text,NULL,No,,,
subscription_resource,dbo,destroy_time,,"numeric(20,0)",NULL,No,,,
subscription_resource,dbo,destroy_time_uom_id,,varchar(40),NULL,No,,,
subscription_resource,dbo,destroy_service_name,,text,NULL,No,,,
subscription_resource,dbo,last_updated_stamp,,datetime,NULL,No,,,
form_config,dbo,form_config_id,,varchar(40),NOT NULL,Yes,,,Yes
form_config,dbo,description,,text,NULL,No,,,
form_config,dbo,form_location,,text,NULL,No,,,
form_config,dbo,config_type_enum_id,,varchar(40),NULL,No,,,
form_config,dbo,last_updated_stamp,,datetime,NULL,No,,,
score_factor_option,dbo,score_factor_id,,varchar(40),NOT NULL,Yes,,,Yes
score_factor_option,dbo,factor_option_seq_id,,varchar(40),NOT NULL,Yes,,,Yes
score_factor_option,dbo,min_value,,"numeric(26,6)",NULL,No,,,
score_factor_option,dbo,enum_value,,text,NULL,No,,,
score_factor_option,dbo,factor_value,,"numeric(26,6)",NULL,No,,,
score_factor_option,dbo,last_updated_stamp,,datetime,NULL,No,,,
empl_position_class_work_type,dbo,empl_position_class_id,,varchar(40),NOT NULL,Yes,,,Yes
empl_position_class_work_type,dbo,work_type_enum_id,,varchar(40),NOT NULL,Yes,,,Yes
empl_position_class_work_type,dbo,last_updated_stamp,,datetime,NULL,No,,,
production_estimate,dbo,production_estimate_id,,varchar(40),NOT NULL,Yes,,,Yes
production_estimate,dbo,estimate_name,,text,NULL,No,,,
production_estimate,dbo,product_id,,varchar(40),NULL,No,,,
production_estimate,dbo,facility_id,,varchar(40),NULL,No,,,
production_estimate,dbo,destination_facility_id,,varchar(40),NULL,No,,,
production_estimate,dbo,quantity,,"numeric(26,6)",NULL,No,,,
production_estimate,dbo,quantity_uom_id,,varchar(40),NULL,No,,,
production_estimate,dbo,ready_date,,date,NULL,No,,,
