FLDNAME,DBSYMBOL,ALIAS,SYMBOLID,PROFID,DESCRIPT,REFCODE,CATEGORY,MISMO_VALUE,SRCENV,REC_CUSTOM,CREATE_DATE,MODIFY_DATE
ACH Draft Frequency,ACHDF_SM,Semimonthly,9,,Semimonthly,4,,Semimonthly,,,9/12/2018 16:14,6/11/2020 2:21
ACH Draft Frequency,ACHDF_W,Weekly,10,,Weekly,2,,Weekly,,,9/12/2018 16:14,6/11/2020 2:21
ACH Type,ACHT_C,Current,11,,Current,2,,Current,,,9/12/2018 16:14,6/11/2020 2:21
ACH Type,ACHT_P,Pending,12,,Pending,1,,Pending,,,9/12/2018 16:14,6/11/2020 2:21
ACHAccountType,ACH_ATC,Checking,21239,,Checking,,,,,,9/12/2018 16:14,6/11/2020 2:21
ACHAccountType,ACH_ATS,Savings,21240,,Savings,,,,,,9/12/2018 16:14,6/11/2020 2:21
ACHDebitOrCredit,ACH_ATC,Debit,21241,,Debit,,,,,,9/12/2018 16:14,6/11/2020 2:21
ACHDebitOrCredit,ACH_ATS,Credit,21242,,Credit,,,,,,9/12/2018 16:14,6/11/2020 2:21
ACO Appraisal Method,UWA_FASC,Full Appraisal/Subject To Completion,25759,,Full Appraisal/Subject To Completion,,0,,WGS,N,9/12/2018 16:14,6/11/2020 2:21
ACO Appraisal Method,UWAT_AA,Appraisal Addenda,24184,,Appraisal Addenda,,0,,,,9/12/2018 16:14,6/11/2020 2:21
ACO Appraisal Method,UWAT_AV,AutomatedValuation,12292,,Automated Valuation Method,,,,,,9/12/2018 16:14,6/11/2020 2:21
ACO Appraisal Method,UWAT_BPO,BrokersPriceOpinion,12293,,Brokers Price Opinion,,,,,,9/12/2018 16:14,6/11/2020 2:21
ACO Appraisal Method,UWAT_DBA,DriveBy,12294,,Drive By,,,,,,9/12/2018 16:14,6/11/2020 2:21
ACO Appraisal Method,UWAT_DV,Desktop Valuation,24183,,Desktop Valuation,,0,,,,9/12/2018 16:14,6/11/2020 2:21
ACO Appraisal Method,UWAT_FIN,Final Inspection,12295,,Final Inspection,,,,,,9/12/2018 16:14,6/11/2020 2:21
ACO Appraisal Method,UWAT_FUL,Full Appraisal,12296,,Full Appraisal,,,,WGS,N,9/12/2018 16:14,5/19/2022 5:19
ACO Appraisal Method,UWAT_LA,Limited Appraisal,24182,,Limited Appraisal,,0,,,,9/12/2018 16:14,6/11/2020 2:21
ACO Appraisal Method,UWAT_RA,Review Appraisal,24185,,Review Appraisal,,0,,,,9/12/2018 16:14,6/11/2020 2:21
Act vs Est Ind,ACTUAL,Actual,24705,,Actual Appraised Value,,,Actual,,,9/12/2018 16:14,6/11/2020 2:21
Act vs Est Ind,ESTIMATE,Estimated,24706,,Estimated Appraised value,,,Estimated,,,9/12/2018 16:14,6/11/2020 2:21
Activities,A_APNC,ApprovedNotAccepted,11919,,ApprovedNotAccepted,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_APP,Application,13,,Application,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_BKCDN,Broker Conditions,10963,,Broker Conditions,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_BKR,Broker Portal,8200,,Broker Portal,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_CANWD,Cancel Withdraw,14,,Cancel Withdraw,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_CAPR1,Corr Approval 1,19796,,Corr Approval 1,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_CAPR2,Corr Approval 2,19797,,Corr Approval 2,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_CASUW,Corr Assing UW,19798,,Corr Assing UW,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_CCREQC,Corr Credit QC,19639,,Corr Credit QC,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_CDOCQC,Corr Doc QC,19640,,Corr Doc QC,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_CDRVW,Corr Denial Review,19799,,Corr Denial Review,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_CEXP,Corr Expired,19801,,Corr Expired,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_CFUND,Corr Funding,19636,,Corr Funding,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_CHMDA,Corr HMDA Review,19638,,Corr HMDA Review,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_CLOSE,Closing,15,,Closing,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_CLR,Clear Conditions,14936,,Clear Conditions,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_CNSCLO,Cons Closing,14747,,Consumer Closing,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_CNSCO,Cons Counteroffer,14751,,Cons Counteroffer,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_CNSORG,Cons Origination,14748,,Consumer Origination,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_CNSPCO,Consumer Postclose,14750,,Consumer Postclosing,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_CNSUW,Cons Underwriting,14749,,Consumer Underwriting,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_COMP,Complete,11917,,Complete,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_COMQC,Corr Compliance QC,19641,,Corr Compliance QC,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_CONBRD,Corr OnBoarding,19635,,Corr OnBoarding,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_CPCLOS,Corr Post Closing,19637,,Corr Post Closing,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_CPROC,Cons Processing,21668,,Consumer Processing,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_CUND,Corr UnderWriting,19800,,Corr UnderWriting,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_DENY,Denied,11918,,Denied,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_DPREV,Debt Protection Rev,14752,,Debt Protection Review,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_FUND,Funding,16,,Funding,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_HMDA,HMDA Review,17,,HMDA Review,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_HMDAR,Cons HMDA Review,23881,,Cons HMDA Review,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_INDXNG,Indexing,28504,,Indexing,,0,,WGS,N,4/12/2021 20:42,4/12/2021 20:42
Activities,A_LEAD,Lead Management,18,,Lead Management,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_LMOD,Loan Mod Processing,14188,,Loan Mod Processing,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_LSU,Loan Setup,10459,,Loan Setup,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_ORIG01,Origination,11417,,Origination,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_PCLOS,Post Closing,19,,Post Closing,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_PROCES,Processing,20,,Processing,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_TEMP,Temporary,21,,Temporary,,,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_UNDWRG,Underwriting,22,,Underwriting,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_WCLFU,Closing / Funding,10349,,Closing and Funding Combined,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_WHSUW,Underwriting W,10669,,Wholesale Underwriting,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_WPCLS,P Closing / Shipping,10352,,Post Closing and Shipping Minimal,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,A_WTHA,Withdraw Application,14935,,Withdraw Application,,0,,,,9/12/2018 16:14,11/20/2020 4:56
Activities,AUTO,Auto,23,,Auto,,0,,WGS,N,9/12/2018 16:14,10/7/2022 7:17
ActOwnShip,AT_IN,Individual,25908,,Individual,,,,WGS,N,3/18/2019 23:20,6/11/2020 2:21
ActOwnShip,AT_JO,Joint,25909,,Joint,,,,WGS,N,3/18/2019 23:20,6/11/2020 2:21
AD Account Type,ADA_CHK,Checking,20602,,Checking,,,,,,9/12/2018 16:14,6/11/2020 2:21
AD Account Type,ADA_MOM,Money Market,20605,,Money Market,,,,,,9/12/2018 16:14,6/11/2020 2:21
AD Account Type,ADA_OTH,Other,20604,,Other,,,,,,9/12/2018 16:14,6/11/2020 2:21
AD Account Type,ADA_SAV,Savings,20603,,Savings,,,,,,9/12/2018 16:14,6/11/2020 2:21
Admin Business Type,D_ALL,All,27103,,All,,0,,WGS,N,12/20/2019 13:18,6/11/2020 2:21
Admin Business Type,D_CONS,Consumer,27104,,Consumer,,0,,WGS,N,12/20/2019 13:18,6/11/2020 2:21
Admin Business Type,D_CORRE,Correspondent,27105,,Correspondent,,0,,WGS,N,12/20/2019 13:18,6/11/2020 2:21
Admin Business Type,D_EQ,Consumer Equity,27106,,Consumer-Equity,,0,,WGS,N,12/20/2019 13:18,6/11/2020 2:21
Admin Business Type,D_RETAIL,Retail Mortgage,27107,,Retail Mortgage,,0,,WGS,N,12/20/2019 13:18,6/11/2020 2:21
Admin Business Type,D_WHSAL,Wholesale,27108,,Wholesale,,0,,WGS,N,12/20/2019 13:18,6/11/2020 2:21
AdminFldActionType,FLD_CAN,Cancellation,25743,,Cancellation,,,,WGS,N,9/12/2018 16:14,6/11/2020 2:21
AdminFldActionType,FLD_CHG,Change,25744,,Change,,,,WGS,N,9/12/2018 16:14,6/11/2020 2:21
AdminFldActionType,FLD_ORG,Original,25745,,Original,,,,WGS,N,9/12/2018 16:14,6/11/2020 2:21
AdminFldActionType,FLD_RES,Reissue,25746,,Reissue,,,,WGS,N,9/12/2018 16:14,6/11/2020 2:21
AdminFldActionType,FLD_SQ,Status Query,25747,,Status Query,,,,WGS,N,9/12/2018 16:14,6/11/2020 2:21
AdminFldActionType,FLD_TRN,Transfer,25748,,Transfer,,,,WGS,N,9/12/2018 16:14,6/11/2020 2:21
AdminFldActionType,FLD_UG,Upgrade,25749,,Upgrade,,,,WGS,N,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_702,702,31,,203(k) Improvements/First Lien,702,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_703,703,32,,203(b) Mutual Mortgage,703,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_707,707,33,,203(k) Escrow Commitment,707,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_719,719,34,,220(h) Improvements,719,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_720,720,35,,220(d)(3) Urban Renewal,720,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_729,729,36,,203(b) Adjustable Rate Mortgage (ARM),729,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_730,730,37,,203(k) Adjustable Rate Mortgage (ARM),730,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_731,731,38,,234(c) Adjustable Rate Mortgage (ARM),731,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_734,734,39,,234(c) Condominium,734,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_740,740,40,,240 Fee Simple Title,740,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_741,741,41,,203(b)/245(a) Graduated Payment Mortgage/Growing Equity Mortgage (GPM/GEM),741,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_742,742,42,,234(c)/245(a) Graduated Payment Mortgage/Growing Equity Mortgage (GPM/GEM),742,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_746,746,43,,235(r) REV Refinance of Ten-year Subsidy Mortgage,746,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_753,753,44,,203(k) Second Lien,753,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_755,755,45,,235(r) REV Refinance (Special Allocation No. 1),755,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_756,756,46,,235(r) REV Refinance (Recap/Special Allocation No. 1),756,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_759,759,47,,203(b) Hawaiian Homelands (HHL),759,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_763,763,48,,203(b)/245(a) Graduated Payment Mortgage/Interest Buy-down (GPM-IBD),763,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_765,765,49,,235(r) REV Homeownership Assistance/Refinance,765,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_766,766,50,,235(r) REV Refinance Recap/Other than Special Allocation No. 1,766,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_770,770,51,,203(b)/245(a) Graduated Payment Mortgage (GPM),770,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_771,771,52,,234(c)/245(a) Graduated Payment Mortgage (GPM),771,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_774,774,53,,203(b)/238(c) Military Impact Area (MIA),774,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_776,776,54,,203(b)/238(c)/245(a) Military Impact Area/Graduated Payment Mortgage (MIA/GPM),776,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_777,777,55,,234(c)/238(c)/245(a) Military Impact Area/Graduated Payment Mortgage (MIA/GPM),777,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_779,779,56,,Other Sections - Military Impact Area (MIA),779,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_780,780,57,,203(b) Hawaiian Homelands/Adjustable Rate Mortgage (HHL/ARM),780,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_782,782,58,,203(b)/245(a) Graduated Payment Mortgage/Indian Lands/GEM (GPM/IL/GEM),782,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_783,783,59,,203(b) Indian Lands (IL),783,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_787,787,60,,203(b)/245(a) Graduated Payment Mortgage/Indian Lands (GPM/IL),787,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_788,788,61,,203(b) Indian Lands/Adjustable Rate Mortgage (IL/ARM),788,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_792,792,62,,203(b) VA CRV 223(e) Mortgage,792,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_793,793,63,,203(b)/245(a) Graduated Payment Mortgage/Hawaiian Homelands (GPM/HHL),793,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_796,796,64,,All MMI Sections Interest Buy-down (excl Coinsurance and 245(a)) (IBD),796,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_797,797,65,,All GI Sections Interest Buy-down (IBD),797,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_798,798,66,,All SRI Sections  Interest Buy-down (IBD),798,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_801,801,67,,203(k) Indian Lands (IL),801,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_802,802,68,,203(k) 223(e)/Direct Endorsement,802,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_804,804,69,,203(k) Condominium,804,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_805,805,70,,203(k) Hawaiian Homelands/Interest Buy-down (HHL/IBD),805,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_807,807,71,,203(k) Energy Efficiency Mortgage (EEM),807,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_808,808,72,,203(k) Hawaiian Homelands (HHL),808,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_811,811,73,,203(b) Hawaiian Homelands/Interest Buy-down (HHL/IBD),811,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_812,812,74,,203(k) Condominium/Interest Buy-down (IBD),812,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_813,813,75,,203(k) Interest Buy-down (IBD),813,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_815,815,76,,203(k) Condominium/Adjustable Rate Mortgage (ARM),815,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_829,829,77,,203(b) 223(e) Adjustable Rate Mortgage (ARM),829,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_951,951,78,,255 Home Equity Conversion Mortgage (HECM) Assignment/Fixed,951,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_952,952,79,,255 Home Equity Conversion Mortgage - Assignment/(ARM),952,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_953,953,80,,255 Home Equity Conversion Mortgage - Shared Premium/Fixed,953,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_954,954,81,,255 Home Equity Conversion Mortgage - Shared Premium/(ARM),954,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_956,956,83,,255 Home Equity Conversion Mortgage - Shared Appreciation/(ARM),956,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_957,957,84,,255 Home Equity Conversion Mortgage - Condominium/Fixed,957,,,,,9/12/2018 16:14,6/11/2020 2:21
ADP Code,ADP_958,958,85,,255 Home Equity Conversion Mortgage - Condominium/(ARM),958,,,,,9/12/2018 16:14,6/11/2020 2:21
AdvActIndReasonRef,APPINCMP,APPINCMP,31941,,Stores a [Y]es or [N]o flag that indicates whether the credit application is complete.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,APPWTHDR,APP_WITHDRAWN,31940,,A flag for credit application withdrawn,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,BANKRUPT,BANKRUPT,31942,,Stores a [Y]es or [N]o flag that indicates whether the borrower has filed for bankruptcy in the past.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,CASHLACK,CASHLACK,31943,,Stores a [Y]es or [N]o flag that indicates whether the borrower has a lack of cash reserves.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,CLT_APRL,CLT_APRL,31944,,Stores a [Y]es or [N]o flag that indicates whether the appraisal is unacceptable.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,CLT_DATA,CLT_DATA,31945,,Stores a [Y]es or [N]o flag that indicates whether there is insufficient property data.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,CLT_LEAS,CLT_LEAS,31946,,Stores a [Y]es or [N]o flag indicating whether the leasehold estate is unacceptable.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,CLT_PROP,CLT_PROP,31947,,Stores a [Y]es or [N]o flag indicating whether the property is unacceptable.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,COLLACTN,COLLECTION,31948,,This column holds a flag that indicates an collection action or judgement.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,COLLSUFF,COLLSUFF,31949,,Stores a [Y]es or [N]o flag indicating whether the collateral is inadequate.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,CRDINQ,CREDIT_INQUIRIES,31952,,This column holds a flag that indicates an increased number of inquires on the credit report.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,CRDT_OTH,CRDT_OTH,31950,,Stores a [Y]es or [N]o flag indicating whether the credit decision was based on an outside source.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,CRDTREF,CRDTREF,31951,,Stores a [Y]es or [N]o flag indicating whether the borrower has unacceptable credit references.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,CTLLOCON,CTL_LOCORCOND,31953,,Stores the location or condition of Collateral property,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,DELCRDOB,DELCRDOB,31954,,Stores a [Y]es or [N]o flag indicating whether the borrower has delinquent credit obligations.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,DELIVERD,DELIVERED,31955,,Flag indicating report was delivered.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,DENFHLMC,DENFHLMC,31956,,Stores a [Y]es or [N]o flag indicating whether this application was denied by FHLMC.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,DENOTHR1,DENOTHR1,31957,,Stores a [Y]es or [N]o flag indicating whether this application was denied by the agency named in the first other description.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,DENY_HUD,DENY_HUD,31958,,Stores a [Y]es or [N]o flag indicating whether this application was denied by HUD.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,DENY_VA,DENY_VA,31959,,Stores a [Y]es or [N]o flag indicating whether this application was denied by the VA.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,DENYFNMA,DENYFNMA,31960,,Stores a [Y]es or [N]o flag indicating whether this application was denied by FNMA.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,EMAILED,EMAILED,31961,,Flag indicating report was emailed.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,EMPLENG,EMPLENG,31962,,Stores a [Y]es or [N]o flag indicating whether the length of employment is acceptable.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,EMPLTEMP,EMPLTEMP,31963,,Stores a [Y]es or [N]o flag indicating whether the employment is temporary or irregular.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,EXCSVOBL,EXCSVOBL,31964,,Stores a [Y]es or [N]o flag indicating whether there are excessive obligations on the borrower.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,FORECLSE,FORECLOSURE,31965,,Indicates whether the borrower has directly or indirectly been obligated on any loan that resulted in foreclosure,,,,,,,
AdvActIndReasonRef,GARNISH,GARNISH,31966,,Stores a [Y]es or [N]o flag indicating whether there is garnishment,,,,,,,
AdvActIndReasonRef,INCEXCIN,INCEXCIN,31967,,Stores a [Y]es or [N]o flag indicating whether there are excessive obligations on the borrower income.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,INFOBTND,INFOBTND,31968,,Stores a [Y]es or [N]o flag indicating whether the information was obtained from a consumer agency.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,INSUFFCR,INSUFFCR,31969,,Stores a [Y]es or [N]o flag indicating whether there are insufficient credit references.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,INSUFFLE,INSUFFLE,31970,,Stores a [Y]es or [N]o flag indicating whether there is an insufficient credit file.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,INSUFFND,INSUFFND,31971,,Stores a [Y]es or [N]o flag indicating whether there are insufficient funds to close loan.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,INSUFINC,INSUFINC,31972,,Stores a [Y]es or [N]o flag indicating whether there are insufficient income for amount of credit requested.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,LIMCRDT,LIMCRDT,31973,,Stores a [Y]es or [N]o flag indicating whether there are limited credit experience.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,MAILED,MAILED,31974,,Flag indicating report was mailed.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,MTGISDEC,MTGINSDECLINED,31975,,Stores a [Y]es or [N]o flag indicating whether mortgage insurance was declined.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,NOCREDIT,NOCREDIT,31977,,Stores a [Y]es or [N]o flag that indicates whether the lender will grant credit under the terms provided.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,NOFILE,NOFILE,31978,,Stores a [Y]es or [N]o flag indicating whether there is not a credit file.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,NREQTERM,NEVER_ON_REQ_TERMS,31976,,A flag for never grant credit on requested terms,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,OTHER2,OTHER2,31979,,This column holds a flag that indicates other 2 denial reason.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,OTHER3,OTHER3,31980,,This column holds a flag that indicates other 3 denial reason.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,OTHER4,OTHER4,31981,,This column holds a flag that indicates other 4 denial reason.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
AdvActIndReasonRef,OTHER5,OTHER5,31982,,This column holds a flag that indicates other 5 denial reason.,,,,WGS,N,7/24/2022 22:39,7/24/2022 22:39
