Table,Column,MapToName
penfed,INT_GROSS_MARGIN,InterestGrossMargin
penfed,RATE_LIFE_CAP,CapLifetimeInterestRate
penfed,RATE_LIFE_FLOOR,FloorLifetimeInterestRate
penfed,RATE_FIRST_CAP,FirstCapInterestRate
penfed,RATE_SUBSEQ_CAP,SubsequentCapInterestRate
penfed,RATE_FIRST_FLOOR,FirstFloorInterestRate
penfed,RATE_SUBSEQ_FLOOR,SubsequentFloorInterestRate
penfed,FIRST_RATE_ADJ_DATE,FirstRateAdjustDate
penfed,NEXT_RATE_ADJ_DATE,NextRateAdjustDate
penfed,NEG_AM_FLAG,NegativeAmortizationFlag
penfed,NEG_AM_CAP,NegativeAmoritzationCap
penfed,OPTION_ARM_FLAG,OptionARMCode
penfed,NET_MARGIN,InterestNetMargin
penfed,ARM_INITIAL_RATE,ARMInitialRate
penfed,FIRST_PMT_ADJ_DATE,FirstPaymentAdjustDate
penfed,NXT_PMT_ADJ_DATE,NextPaymentAdjustDate
penfed,ORIG_MI_COVERAGE,OrigMortgageInsuranceCoverage
penfed,MI_COMPANY,MortgageInsuranceCompany
penfed,ORIG_CRED_LIMIT,OriginalCreditLimit
penfed,CREDIT_CLOSED_FLAG,CreditClosedFlag
penfed,CREDIT_FROZEN_FLAG,CreditFrozenFlag
penfed,CREDIT_LIMIT_CHANGE_ACTION,CreditLimitChangeAction
penfed,DRAW_PERIOD,DrawPeriod
penfed,REPAY_PERIOD,RepayPeriod
penfed,HE_TYPE,HomeEquityType
penfed,DATE_LINE_CHANGED,LineChangedDate
penfed,DATE_LINE_CLOSED,LineClosedDate
penfed,BUSINESS_ACCOUNT_FLAG,BusinessAccountFlag
