loan_number,product_type,service_fee,balance,participation_balance_90,date_interest_paid_to,original_loan_to_value_ratio,net_int,price,premium_discount,funds_due
29125153,Purchase Vehicle,0.25,24164.81,21748.329,3/9/2022,95.32,1.24,99.75,-54.3708225,21715.38475
29530147,Purchase Vehicle,0.25,5291.42,4762.278,4/1/2022,11.97,2.24,99.75,-11.905695,4752.125867
35290149,DCU Re-Finance,0.25,12438.3,11194.47,3/4/2022,50.67,2.74,99.75,-27.986175,11195.05579
38661148,Refinance From Other Financial Institution,0.25,22805.86,20525.274,3/15/2022,82.18,1.24,99.75,-51.313185,20489.99865
38977144,Refinance From Other Financial Institution,0.25,20364.95,18328.455,3/9/2022,45.31,2.24,99.75,-45.8211375,18315.25349
39473142,Refinance From Other Financial Institution,0.25,6407.42,5766.678,3/4/2022,63.44,2.74,99.75,-14.416695,5766.979763
39531144,Purchase Vehicle,0.25,28105.88,25295.292,3/28/2022,56.32,1.24,99.75,-63.23823,25240.64724
40158147,Purchase Vehicle,0.25,20891.49,18802.341,3/16/2022,34.18,2.74,99.75,-47.0058525,18786.38734
40498142,Own Outright,0.25,17361.18,15625.062,3/15/2022,55.25,1.24,99.75,-39.062655,15598.2083
40655147,DCU Re-Finance,0.25,15516.51,13964.859,3/26/2022,38.62,1.24,99.75,-34.9121475,13935.63992
41227144,Purchase Vehicle,0.25,14638.15,13174.335,3/31/2022,40.96,2.99,99.75,-32.9358375,13148.95365
41647145,DCU Re-Finance,0.25,18294.83,16465.347,3/21/2022,45.45,1.74,99.75,-41.1633675,16437.52733
41767146,Purchase Vehicle,0.25,15202.11,13681.899,2/18/2022,82.4,1.74,99.75,-34.2047475,13679.00144
42378149,Purchase Vehicle,0.25,15572.64,14015.376,4/6/2022,50.32,1.74,99.75,-35.03844,13981.00569
42505146,DCU Re-Finance,0.25,13392.56,12053.304,3/21/2022,22.27,1.74,99.75,-30.13326,12032.93887
42554148,Purchase Vehicle,0.25,29894.71,26905.239,3/29/2022,84.68,1.24,99.75,-67.2630975,26846.20227
42899152,Purchase Vehicle,0.25,32552.44,29297.196,4/1/2022,64.17,1.24,99.75,-73.24299,29229.92482
43196144,Purchase Vehicle,0.25,6445.64,5801.076,3/14/2022,33.22,3.49,99.75,-14.50269,5799.885587
44417143,Purchase Vehicle,0.25,26177.69,23559.921,4/1/2022,90.35,1.24,99.75,-58.8998025,23505.82355
46065145,Refinance From Other Financial Institution,0.25,21535.83,19382.247,3/21/2022,70.96,1.24,99.75,-48.4556175,19344.98529
46290148,Purchase Vehicle,0.25,17135.86,15422.274,3/15/2022,70.59,1.24,99.75,-38.555685,15395.76882
47664145,Purchase Vehicle,0.25,18557.33,16701.597,3/22/2022,67.75,1.74,99.75,-41.7539925,16672.58198
48042148,DCU Re-Finance,0.25,18890.63,17001.567,3/25/2022,57.16,1.74,99.75,-42.5039175,16969.5994
48173142,Refinance From Other Financial Institution,0.25,16049.32,14444.388,4/1/2022,74.39,1.74,99.75,-36.11097,14412.40852
49140146,Refinance From Other Financial Institution,0.25,15152.66,13637.394,4/6/2022,42.11,1.74,99.75,-34.093485,13603.95063
49352142,Refinance From Other Financial Institution,0.25,20051.42,18046.278,3/10/2022,57.67,2.24,99.75,-45.115695,18032.17224
50164145,Purchase Vehicle,0.25,17581.46,15823.314,3/15/2022,36.08,1.74,99.75,-39.558285,15801.105
52121149,Purchase Vehicle,0.25,32273.88,29046.492,3/21/2022,62.46,2.24,99.75,-72.61623,29004.17962
52121153,Purchase Vehicle,0.25,18096.96,16287.264,3/10/2022,78.94,1.24,99.75,-40.71816,16262.03882
53189150,Purchase Vehicle,0.25,6475.93,5828.337,3/23/2022,33.51,2.74,99.75,-14.5708425,5820.329025
56088146,Refinance From Other Financial Institution,0.25,6440.82,5796.738,3/14/2022,64.41,1.74,99.75,-14.491845,5788.878259
56262143,Refinance From Other Financial Institution,0.25,7977.45,7179.705,4/4/2022,61.84,2.74,99.75,-17.9492625,7163.372646
56496152,Refinance From Other Financial Institution,0.25,12134.27,10920.843,3/26/2022,54.11,2.24,99.75,-27.3021075,10901.58342
56623144,Refinance From Other Financial Institution,0.25,18161.9,16345.71,4/1/2022,85.47,1.74,99.75,-40.864275,16309.52105
57147143,Refinance From Other Financial Institution,0.25,12492.31,11243.079,4/5/2022,40.63,2.24,99.75,-28.1076975,11216.35127
58236148,Refinance From Other Financial Institution,0.25,12806.02,11525.418,3/26/2022,66.27,3.24,99.75,-28.813545,11508.88139
59370144,Purchase Vehicle,0.25,19600.74,17640.666,3/29/2022,52.97,2.24,99.75,-44.101665,17606.30778
59748145,DCU Re-Finance,0.25,15512.28,13961.052,3/31/2022,68.41,1.74,99.75,-34.90263,13930.80815
61902144,Purchase Vehicle,0.25,17089.27,15380.343,3/17/2022,41.76,1.74,99.75,-38.4508575,15357.28934
62522151,Purchase Vehicle,0.25,20325.69,18293.121,3/26/2022,70.82,1.24,99.75,-45.7328025,18254.84578
62561143,Purchase Vehicle,0.25,12685.59,11417.031,4/4/2022,36.8,2.24,99.75,-28.5425775,11390.59041
65071142,Purchase Vehicle,0.25,10591.05,9531.945,3/16/2022,45.31,2.74,99.75,-23.8298625,9523.85721
65206151,DCU Re-Finance,0.25,18776.67,16899.003,3/22/2022,77.19,1.24,99.75,-42.2475075,16865.94114
65872144,Refinance From Other Financial Institution,0.25,20807.06,18726.354,3/19/2022,79.87,1.74,99.75,-46.815885,18696.49957
66301146,Refinance From Other Financial Institution,0.25,22480.66,20232.594,4/1/2022,78.4,1.74,99.75,-50.581485,20187.79959
66450148,Purchase Vehicle,0.25,20775.08,18697.572,3/15/2022,62.53,1.74,99.75,-46.74393,18671.32881
68558145,Refinance From Other Financial Institution,0.25,29631.76,26668.584,3/21/2022,80.74,2.24,99.75,-66.67146,26629.73554
69299146,Purchase Vehicle,0.25,12277.89,11050.101,3/29/2022,37.67,4.99,99.75,-27.6252525,11036.07191
70287148,Refinance From Other Financial Institution,0.25,9540.72,8586.648,4/5/2022,28.66,2.24,99.75,-21.46662,8566.235303
71785147,Refinance From Other Financial Institution,0.25,18452.34,16607.106,3/23/2022,50.42,2.24,99.75,-41.517765,16580.87587
71816142,Purchase Vehicle,0.25,16838.67,15154.803,3/25/2022,84.09,1.74,99.75,-37.8870075,15126.30782
71937143,Refinance From Other Financial Institution,0.25,11803.48,10623.132,3/23/2022,39.22,4.99,99.75,-26.55783,10618.35887
72047151,DCU Re-Finance,0.25,25523.29,22970.961,4/1/2022,40.85,1.24,99.75,-57.4274025,22918.2159
72211144,Purchase Vehicle,0.25,17393.74,15654.366,3/21/2022,75.79,1.74,99.75,-39.135915,15627.91655
72398154,DCU Re-Finance,0.25,13169.84,11852.856,3/12/2022,45.49,1.99,99.75,-29.63214,11840.02569
72421143,Purchase Vehicle,0.25,19950.39,17955.351,3/12/2022,47.67,2.24,99.75,-44.8883775,17939.11248
72458165,DCU Re-Finance,0.25,7677.86,6910.074,4/1/2022,23.2,1.24,99.75,-17.275185,6894.207334
72476142,Purchase Vehicle,0.25,31372.25,28235.025,3/29/2022,84.73,1.74,99.75,-70.5875625,28176.55142
72515144,Purchase Vehicle,0.25,32066.51,28859.859,3/19/2022,79.57,1.24,99.75,-72.1496475,28806.3378
73032142,Purchase Vehicle,0.25,10918.14,9826.326,3/11/2022,59.66,1.24,99.75,-24.565815,9810.773483
74027145,Purchase Vehicle,0.25,9929.52,8936.568,3/7/2022,63.96,2.74,99.75,-22.34142,8935.023076
75810144,Refinance From Other Financial Institution,0.25,11505.39,10354.851,3/15/2022,42.18,2.99,99.75,-25.8871275,10348.47355
76586143,Purchase Vehicle,0.25,8238.7,7414.83,3/7/2022,49.11,1.74,99.75,-18.537075,7407.250622
77896144,Purchase Vehicle,0.25,11559.69,10403.721,3/24/2022,34.61,1.24,99.75,-26.0093025,10382.65988
78433147,DCU Re-Finance,0.25,14614.74,13153.266,3/15/2022,50.27,2.74,99.75,-32.883165,13143.09294
78963146,Refinance From Other Financial Institution,0.25,7112.38,6401.142,4/2/2022,28.77,1.24,99.75,-16.002855,6386.226462
79667142,Purchase Vehicle,0.25,25070.84,22563.756,3/28/2022,85.13,1.74,99.75,-56.40939,22518.10303
80035141,Purchase Vehicle,0.25,18637.53,16773.777,3/25/2022,84.52,1.74,99.75,-41.9344425,16742.2377
80473143,Purchase Vehicle,0.25,15796.38,14216.742,4/4/2022,61.89,1.24,99.75,-35.541855,14182.64908
81052146,Purchase Vehicle,0.25,37602.56,33842.304,3/31/2022,75.81,1.49,99.75,-84.60576,33767.36879
81354141,Purchase Vehicle,0.25,8813.92,7932.528,3/15/2022,52.46,2.24,99.75,-19.83132,7923.893498
90982142,Refinance From Other Financial Institution,0.25,9240.63,8316.567,3/30/2022,49.61,1.24,99.75,-20.7914175,8298.035866
93250144,Refinance From Other Financial Institution,0.25,13620.37,12258.333,3/14/2022,54.48,2.24,99.75,-30.6458325,12245.74218
93275144,Refinance From Other Financial Institution,0.25,25822.15,23239.935,3/15/2022,72.08,1.74,99.75,-58.0998375,23207.31632
93535149,Refinance From Other Financial Institution,0.25,16533.87,14880.483,3/24/2022,53.08,1.24,99.75,-37.2012075,14850.35919
95022144,Purchase Vehicle,0.25,16740.18,15066.162,3/16/2022,43.91,1.24,99.75,-37.665405,15039.757
95215150,Purchase Vehicle,0.25,32989.51,29690.559,4/1/2022,61.01,1.74,99.75,-74.2263975,29624.82492
95215151,Refinance From Other Financial Institution,0.25,25665.33,23098.797,3/18/2022,63.41,1.74,99.75,-57.7469925,23063.07297
95569143,Purchase Vehicle,0.25,11284.64,10156.176,4/4/2022,54.71,2.49,99.75,-25.39044,10132.8641
96401148,Purchase Vehicle,0.25,8733.92,7860.528,3/18/2022,49.77,1.74,99.75,-19.65132,7848.371101
96692143,Purchase Vehicle,0.25,19894.86,17905.374,4/5/2022,78.87,1.24,99.75,-44.763435,17861.82715
97433142,Purchase Vehicle,0.25,21191.59,19072.431,3/11/2022,61.96,1.24,99.75,-47.6810775,19042.24431
97925145,Refinance From Other Financial Institution,0.25,11746.65,10571.985,3/22/2022,80.05,1.74,99.75,-26.4299625,10553.61871
98327147,Refinance From Other Financial Institution,0.25,6836.55,6152.895,3/23/2022,25.25,2.99,99.75,-15.3822375,6145.073238
98336144,DCU Re-Finance,0.25,26249.63,23624.667,2/25/2022,75.54,1.24,99.75,-59.0616675,23598.51158
98363144,Refinance From Other Financial Institution,0.25,30966.3,27869.67,3/24/2022,63,1.24,99.75,-69.674175,27813.2511
98425143,Refinance From Other Financial Institution,0.25,12653.83,11388.447,3/25/2022,53,2.24,99.75,-28.4711175,11369.06168
98765144,Refinance From Other Financial Institution,0.25,15091.21,13582.089,3/18/2022,35.91,2.24,99.75,-33.9552225,13564.8044
99119150,Purchase Vehicle,0.25,20847.65,18762.885,3/21/2022,44.74,1.24,99.75,-46.9072125,18726.814
99158143,Purchase Vehicle,0.25,34056.54,30650.886,3/28/2022,71.99,1.24,99.75,-76.627215,30584.67169
99169143,Purchase Vehicle,0.25,24593.96,22134.564,3/21/2022,75.97,1.74,99.75,-55.33641,22097.16568
99261143,Purchase Vehicle,0.25,9463.81,8517.429,3/21/2022,49.16,1.74,99.75,-21.2935725,8503.038045
99652144,Purchase Vehicle,0.25,9792.78,8813.502,3/14/2022,53.88,2.24,99.75,-22.033755,8804.449447
99694143,Refinance From Other Financial Institution,0.25,12112.72,10901.448,4/1/2022,43.38,2.24,99.75,-27.25362,10878.2085
100938142,Purchase Vehicle,0.25,13232.16,11908.944,3/18/2022,69.28,1.74,99.75,-29.77236,11890.52592
110041141,Refinance From Other Financial Institution,0.25,13631.3,12268.17,3/19/2022,46.72,1.74,99.75,-30.670425,12248.61151
110287143,Refinance From Other Financial Institution,0.25,26894.56,24205.104,3/25/2022,54.06,1.24,99.75,-60.51276,24155.28127
112288148,Refinance From Other Financial Institution,0.25,45343.85,40809.465,4/5/2022,52.24,1.74,99.75,-102.0236625,40711.33221
112545144,Purchase Vehicle,0.25,45714.53,41143.077,2/16/2022,77.94,1.49,99.75,-102.8576925,41124.19627
112561145,Purchase Vehicle,0.25,9423.1,8480.79,3/25/2022,35.69,2.24,99.75,-21.201975,8466.354069
114421142,Purchase Vehicle,0.25,13106.43,11795.787,3/30/2022,71.42,3.74,99.75,-29.4894675,11775.96685
115159144,Purchase Vehicle,0.25,17587.51,15828.759,3/23/2022,55.39,2.24,99.75,-39.5718975,15803.75823
115579144,Purchase Vehicle,0.25,8521.01,7668.909,3/28/2022,45.94,2.24,99.75,-19.1722725,7654.443126
115939141,Purchase Vehicle,0.25,25886.89,23298.201,3/23/2022,44.38,2.99,99.75,-58.2455025,23268.58356
116087142,Refinance From Other Financial Institution,0.25,14661.35,13195.215,4/1/2022,36.86,2.24,99.75,-32.9880375,13167.08569
116401143,Purchase Vehicle,0.25,16461.94,14815.746,3/28/2022,40.87,1.74,99.75,-37.039365,14785.76948
116619148,Purchase Vehicle,0.25,17077.42,15369.678,3/11/2022,52.55,2.99,99.75,-38.424195,15365.24816
116844143,Refinance From Other Financial Institution,0.25,19270.32,17343.288,3/11/2022,54.67,2.24,99.75,-43.35822,17328.66737
117017160,Refinance From Other Financial Institution,0.25,37904.61,34114.149,3/7/2022,49.66,1.24,99.75,-85.2853725,34064.79097
117195145,Purchase Vehicle,0.25,19484.25,17535.825,4/1/2022,52.8,2.24,99.75,-43.8395625,17498.44246
117950143,Purchase Vehicle,0.25,29281.08,26352.972,3/15/2022,73.3,1.24,99.75,-65.88243,26307.68099
118517148,Purchase Vehicle,0.25,13994.73,12595.257,3/24/2022,59.24,1.74,99.75,-31.4881425,12572.1749
118651144,Purchase Vehicle,0.25,14728.61,13255.749,3/15/2022,30.69,2.99,99.75,-33.1393725,13247.58491
118795145,Purchase Vehicle,0.25,16080.96,14472.864,3/15/2022,46.08,1.74,99.75,-36.18216,14452.55044
118937147,Refinance From Other Financial Institution,0.25,27549.38,24794.442,3/15/2022,60.09,1.49,99.75,-61.986105,24755.7355
118947146,Refinance From Other Financial Institution,0.25,25907.6,23316.84,3/30/2022,47.8,1.24,99.75,-58.2921,23264.88497
120800145,DCU Re-Finance,0.25,10736.57,9662.913,3/10/2022,23.7,1.99,99.75,-24.1572825,9653.506882
121900143,Purchase Vehicle,0.25,29239.7,26315.73,3/17/2022,62.21,1.74,99.75,-65.789325,26276.28524
123034143,Purchase Vehicle,0.25,19976.67,17979.003,3/1/2022,65.88,2.24,99.75,-44.9475075,17974.88014
123086142,Refinance From Other Financial Institution,0.25,15162.97,13646.673,4/4/2022,54.49,1.74,99.75,-34.1166825,13614.50798
123215153,Purchase Vehicle,0.25,6864.29,6177.861,3/21/2022,16.17,2.24,99.75,-15.4446525,6168.861634
123837145,Refinance From Other Financial Institution,0.25,16916.14,15224.526,3/7/2022,53.74,2.74,99.75,-38.061315,15221.89403
125170145,Purchase Vehicle,0.25,7104.48,6394.032,3/26/2022,30.2,1.74,99.75,-15.98508,6381.704657
126698148,Purchase Vehicle,0.25,6536.77,5883.093,4/1/2022,17.51,1.74,99.75,-14.7077325,5870.067993
127739142,Purchase Vehicle,0.25,12727.01,11454.309,4/5/2022,62.88,2.74,99.75,-28.6357725,11427.39294
127777142,Purchase Vehicle,0.25,54769.75,49292.775,3/22/2022,69.68,1.49,99.75,-123.2319375,49201.73867
127784144,Refinance From Other Financial Institution,0.25,18762.96,16886.664,3/11/2022,65.78,2.99,99.75,-42.21666,16881.79694
128428150,Purchase Vehicle,0.25,38793.75,34914.375,3/15/2022,93.94,1.24,99.75,-87.2859375,34854.3701
128544147,Purchase Vehicle,0.25,2381.73,2143.557,3/30/2022,7.54,1.74,99.75,-5.3588925,2139.015596
130100142,Purchase Vehicle,0.25,29442.83,26498.547,3/22/2022,43.78,2.74,99.75,-66.2463675,26464.12793
130231146,Purchase Vehicle,0.25,16159.92,14543.928,4/2/2022,55.15,1.74,99.75,-36.35982,14511.03481
130265148,Purchase Vehicle,0.25,20872.53,18785.277,3/18/2022,53.9,2.99,99.75,-46.9631925,18769.09078
130286146,Purchase Vehicle,0.25,15830.74,14247.666,4/4/2022,35.19,1.74,99.75,-35.619165,14214.08445
130955149,Purchase Vehicle,0.25,14780.8,13302.72,4/1/2022,52.93,1.99,99.75,-33.2568,13273.81483
130955150,Refinance From Other Financial Institution,0.25,24394.49,21955.041,3/15/2022,71.49,1.24,99.75,-54.8876025,21917.3084
130999144,Refinance From Other Financial Institution,0.25,11148.45,10033.605,3/14/2022,56.74,1.74,99.75,-25.0840125,10020.00053
135377142,Refinance From Other Financial Institution,0.25,12235.46,11011.914,3/8/2022,41.2,1.24,99.75,-27.529785,10995.60732
136739151,Purchase Vehicle,0.25,51924.21,46731.789,3/12/2022,89.8,1.24,99.75,-116.8294725,46656.23714
136789146,DCU Re-Finance,0.25,13219.19,11897.271,3/10/2022,47.25,1.74,99.75,-29.7431775,11883.40823
137439150,Refinance From Other Financial Institution,0.25,23018.33,20716.497,3/11/2022,71.37,1.24,99.75,-51.7912425,20683.70818
137994145,Purchase Vehicle,0.25,19314.93,17383.437,3/14/2022,67.12,1.24,99.75,-43.4585925,17354.15186
138136145,Purchase Vehicle,0.25,18245.37,16420.833,4/5/2022,58.01,1.49,99.75,-41.0520825,16381.12158
138235146,Purchase Vehicle,0.25,30163.89,27147.501,3/22/2022,79.07,1.74,99.75,-67.8687525,27100.33872
138311148,DCU Re-Finance,0.25,15605.88,14045.292,2/15/2022,48.69,2.74,99.75,-35.11323,14063.95107
138530145,Refinance From Other Financial Institution,0.25,23585.38,21226.842,3/19/2022,55.95,1.24,99.75,-53.067105,21187.47639
140035144,Refinance From Other Financial Institution,0.25,17740.54,15966.486,4/2/2022,64.63,1.24,99.75,-39.916215,15929.2819
140045144,Purchase Vehicle,0.25,8744.46,7870.014,4/5/2022,31.04,3.49,99.75,-19.675035,7851.84397
141192148,Purchase Vehicle,0.25,11169.91,10052.919,4/1/2022,57.73,1.74,99.75,-25.1322975,10030.66211
141210148,Purchase Vehicle,0.25,14979.61,13481.649,3/18/2022,65.13,3.49,99.75,-33.7041225,13473.72622
142124147,Purchase Vehicle,0.25,18981.17,17083.053,3/7/2022,44.71,1.74,99.75,-42.7076325,17065.59084
142206147,Purchase Vehicle,0.25,19366.06,17429.454,3/9/2022,60.19,1.24,99.75,-43.573635,17403.05196
142271145,Refinance From Other Financial Institution,0.25,14192.02,12772.818,3/22/2022,55.22,1.49,99.75,-31.932045,12749.22853
142493144,Purchase Vehicle,0.25,20486.03,18437.427,3/26/2022,62.55,2.24,99.75,-46.0935675,18404.91146
144876142,Purchase Vehicle,0.25,16334.27,14700.843,4/1/2022,43.06,2.99,99.75,-36.7521075,14671.31646
145266143,Refinance From Other Financial Institution,0.25,12439.69,11195.721,3/31/2022,39.43,2.49,99.75,-27.9893025,11173.07804
145345145,Purchase Vehicle,0.25,10328.76,9295.884,3/26/2022,32.33,1.24,99.75,-23.23971,9276.433954
145608149,Purchase Vehicle,0.25,14081.03,12672.927,3/14/2022,36.17,2.24,99.75,-31.6823175,12659.91034
145625147,Purchase Vehicle,0.25,11182.94,10064.646,3/2/2022,33.38,1.74,99.75,-25.161615,10056.75697
145735146,Refinance From Other Financial Institution,0.25,36541.18,32887.062,3/25/2022,75.65,1.24,99.75,-82.217655,32819.36871
145920144,Purchase Vehicle,0.25,31483.31,28334.979,3/31/2022,37.4,1.99,99.75,-70.8374475,28274.95542
147840149,Refinance From Other Financial Institution,0.25,21400,19260,3/16/2022,45.15,2.24,99.75,-48.15,19237.85364
147932148,Purchase Vehicle,0.25,39510.18,35559.162,3/16/2022,93.52,1.24,99.75,-88.897905,35496.84092
148010147,Refinance From Other Financial Institution,0.25,10961.33,9865.197,3/23/2022,62.02,2.24,99.75,-24.6629925,9849.615394
149124149,Purchase Vehicle,0.25,14541.28,13087.152,3/19/2022,54.67,2.24,99.75,-32.71788,13069.6941
149498148,DCU Re-Finance,0.25,28383.57,25545.213,3/21/2022,56.94,1.24,99.75,-63.8630325,25496.1032
149677147,Purchase Vehicle,0.25,14390.5,12951.45,3/15/2022,39.4,2.99,99.75,-32.378625,12943.47333
149916147,Purchase Vehicle,0.25,5530.68,4977.612,4/1/2022,19.76,1.74,99.75,-12.44403,4966.591703
150032143,Refinance From Other Financial Institution,0.25,14117.73,12705.957,4/4/2022,60.66,3.74,99.75,-31.7648925,12678.09788
150127146,Purchase Vehicle,0.25,13222.52,11900.268,3/23/2022,44.11,1.24,99.75,-29.75067,11876.58158
152235144,Refinance From Other Financial Institution,0.25,25259.67,22733.703,3/17/2022,88.24,1.49,99.75,-56.8342575,22696.35744
154233143,Purchase Vehicle,0.25,10125.79,9113.211,3/7/2022,53.58,1.24,99.75,-22.7830275,9100.025557
156355143,Purchase Vehicle,0.25,23508.21,21157.389,4/1/2022,67.51,5.99,99.75,-52.8934725,21125.32831
156450150,Refinance From Other Financial Institution,0.25,18454.5,16609.05,3/17/2022,65.85,1.74,99.75,-41.522625,16584.15463
156600152,Purchase Vehicle,0.25,15950.23,14355.207,3/14/2022,71.13,2.74,99.75,-35.8880175,14345.18195
156609143,Refinance From Other Financial Institution,0.25,33469.01,30122.109,3/12/2022,69.8,2.74,99.75,-75.3052725,30105.59548
157616143,DCU Re-Finance,0.25,10124.91,9112.419,4/1/2022,35.28,1.99,99.75,-22.7810475,9092.618837
158151144,Purchase Vehicle,0.25,15885.09,14296.581,3/16/2022,61.63,2.74,99.75,-35.7414525,14284.45045
158234144,Refinance From Other Financial Institution,0.25,18713.05,16841.745,3/10/2022,65.49,1.24,99.75,-42.1043625,16815.66106
159275143,DCU Re-Finance,0.25,22399.21,20159.289,3/15/2022,53.11,2.24,99.75,-50.3982225,20137.34575
160204147,DCU Re-Finance,0.25,35441.49,31897.341,3/14/2022,85.5,1.24,99.75,-79.7433525,31843.6049
163507143,Refinance From Other Financial Institution,0.25,31902.71,28712.439,3/24/2022,77.2,2.24,99.75,-71.7810975,28665.327
163554143,Refinance From Other Financial Institution,0.25,15341.15,13807.035,3/31/2022,57.4,2.24,99.75,-34.5175875,13778.44876
163556144,Purchase Vehicle,0.25,10813.9,9732.51,4/6/2022,37.98,2.74,99.75,-24.331275,9708.90933
165210147,Purchase Vehicle,0.25,13796.81,12417.129,4/4/2022,35.11,1.24,99.75,-31.0428225,12387.3517
165217142,Purchase Vehicle,0.25,8301.17,7471.053,3/25/2022,27.91,1.24,99.75,-18.6776325,7455.674912
166492147,Refinance From Other Financial Institution,0.25,8948.81,8053.929,3/4/2022,41.67,2.99,99.75,-20.1348225,8056.226025
166843148,DCU Re-Finance,0.25,14640.93,13176.837,4/2/2022,44.6,1.24,99.75,-32.9420925,13146.13316
169384146,Purchase Vehicle,0.25,18353.6,16518.24,3/25/2022,47.88,1.74,99.75,-41.2956,16487.18118
169998142,Purchase Vehicle,0.25,15576.72,14019.048,3/17/2022,39.27,3.24,99.75,-35.04762,14010.13342
170000148,DCU Re-Finance,0.25,12546.53,11291.877,3/28/2022,46.04,1.74,99.75,-28.2296925,11269.03028
170037141,Purchase Vehicle,0.25,16445.2,14800.68,3/11/2022,64.49,2.24,99.75,-37.0017,14788.20282
170065151,Purchase Vehicle,0.25,39445.97,35501.373,3/28/2022,78.97,1.74,99.75,-88.7534325,35429.54351
171536151,Refinance From Other Financial Institution,0.25,11757.78,10582.002,3/14/2022,60.14,2.24,99.75,-26.455005,10571.13298
171756146,Purchase Vehicle,0.25,10844.7,9760.23,4/2/2022,42.12,1.24,99.75,-24.400575,9737.487327
171800149,Refinance From Other Financial Institution,0.25,14990.79,13491.711,3/9/2022,81.92,3.24,99.75,-33.7292775,13492.71271
173020146,Purchase Vehicle,0.25,29225.5,26302.95,3/28/2022,90.01,1.24,99.75,-65.757375,26246.12842
173173145,Purchase Vehicle,0.25,6711.92,6040.728,3/21/2022,22.97,1.24,99.75,-15.10182,6029.114907
173638143,Refinance From Other Financial Institution,0.25,12395.54,11155.986,3/29/2022,26.52,2.99,99.75,-27.889965,11136.3209
175268144,DCU Re-Finance,0.25,18077.64,16269.876,3/11/2022,59.71,2.74,99.75,-40.67469,16262.1779
175349158,Refinance From Other Financial Institution,0.25,13712.73,12341.457,3/22/2022,41.4,1.74,99.75,-30.8536425,12320.01668
