Table,Column,MapToName
penfed,NBR_OF_TIMES_90_DAYS_DELINQUENT_LIFE_OF_LOAN,NBR_OF_TIMES_90_DAYS_DELINQUENT_LIFE_OF_LOAN
penfed,NBR_OF_TIMES_120_DAYS_DELINQUENT_LIFE_OF_LOAN,NBR_OF_TIMES_120_DAYS_DELINQUENT_LIFE_OF_LOAN
penfed,NBR_OF_TIMES_180_DAYS_DELINQUENT_LIFE_OF_LOAN,NBR_OF_TIMES_180_DAYS_DELINQUENT_LIFE_OF_LOAN
penfed,TDR_FLAG,AcquLiteLSMortResvAcct
penfed,BANKRUPTCY_FILE_DATE,BANKRUPTCY_FILE_DATE
penfed,FORE_START_DATE,FORE_START_DATE
penfed,FORE_SALE_DATE,FORE_SALE_DATE
penfed,DATE_REO,DATE_REO
penfed,MOD_FLAG,ModificationCode
penfed,TDR_HIST_FLAG,TDR_HIST_FLAG
penfed,TDR_IMPAIRMENT_AMT,TDR_IMPAIRMENT_AMT
penfed,MOD_TYPE,MOD_TYPE
penfed,MOD_DATE,MOD_DATE
penfed,NBR_TIMES_MOD,NBR_TIMES_MOD
penfed,LATEST_MOD_DATE,LATEST_MOD_DATE
penfed,MOD_RATE,MOD_RATE
penfed,MOD_MAT_DATE,MOD_MAT_DATE
penfed,MOD_FORGIVE_BAL,MOD_FORGIVE_BAL
penfed,MOD_FORBORNE_BAL,MOD_FORBORNE_BAL
penfed,MOD_PNI,MOD_PNI
penfed,MOD_ORIG_LOAN_ID,MOD_ORIG_LOAN_ID
penfed,DQ_BKT_MOD,DQ_BKT_MOD
penfed,REFRESH_LTV_MOD,REFRESH_LTV_MOD
penfed,RATE_PRE_MOD,RATE_PRE_MOD
penfed,MOD_BAL,MOD_BAL
penfed,PMT_PRE_MOD,PMT_PRE_MOD
penfed,PMT_POST_MOD,PMT_POST_MOD
penfed,INT_RATE_INDEX,INT_RATE_INDEX
penfed,FIRST_RESET_FREQ,ARMFirstChangeFrequencyInterestRatePI
penfed,SUBSEQ_RESET_FREQ,ARMSubsequentChangeFrequencyRatePI
penfed,INT_GROSS_MARGIN,ARMInterestRateMarginRate
penfed,RATE_LIFE_CAP,ARMInterestRateMaxLifeCeilingRate
penfed,RATE_LIFE_FLOOR,ARMInterestRateMaxLifeFloorRate
penfed,RATE_FIRST_CAP,ARMLifeMaxInterestRateINCPct
penfed,RATE_SUBSEQ_CAP,ARMLifeMaxInterestNextRateINCPct
penfed,RATE_FIRST_FLOOR,ARMLifeMaxInterestRateDECPct
penfed,RATE_SUBSEQ_FLOOR,ARMLifeMaxInterestNextRateDECPct
penfed,FIRST_RATE_ADJ_DATE,ARMPIChangeDate
penfed,NEXT_RATE_ADJ_DATE,ARMNextCalculationDate
penfed,MTR_RATE_ADJ,MTR_RATE_ADJ
penfed,NEG_AM_FLAG,NEG_AM_FLAG
penfed,NEG_AM_CAP,NEG_AM_CAP
penfed,OPTION_ARM_FLAG,OPTION_ARM_FLAG
penfed,RECAST_TERM,RECAST_TERM
penfed,NET_MARGIN,NET_MARGIN
penfed,ARM_INITIAL_RATE,ARM_INITIAL_RATE
penfed,FIRST_PMT_ADJ_DATE,FIRST_PMT_ADJ_DATE
penfed,NXT_PMT_ADJ_DATE,NXT_PMT_ADJ_DATE
penfed,BACK_DAYS,BACK_DAYS
penfed,ORIG_MI_COVERAGE,ORIG_MI_COVERAGE
penfed,MI_COMPANY,MI_COMPANY
penfed,ORIG_CRED_LIMIT,ORIG_CRED_LIMIT
penfed,CREDIT_CLOSED_FLAG,CREDIT_CLOSED_FLAG
penfed,CREDIT_FROZEN_FLAG,CREDIT_FROZEN_FLAG
penfed,CREDIT_LIMIT_CHANGE_ACTION,CREDIT_LIMIT_CHANGE_ACTION
penfed,DRAW_PERIOD,DRAW_PERIOD
penfed,REPAY_PERIOD,REPAY_PERIOD
penfed,HE_TYPE,HE_TYPE
penfed,CURR_UT_RATIO,CURR_UT_RATIO
penfed,DATE_LINE_CHANGED,DATE_LINE_CHANGED
penfed,DATE_LINE_CLOSED,DATE_LINE_CLOSED
penfed,MTR_PMT_ADJ,MTR_PMT_ADJ
penfed,BUSINESS_ACCOUNT_FLAG,BUSINESS_ACCOUNT_FLAG
penfed,EXIT_TYPE,EXIT_TYPE
penfed,CONFORM_CURR_DQ_BKT,CurrentDaysDelinquent
penfed,CONFORM_CURR_LOAN_STATUS,CONFORM_DQ_BKT_MOD
penfed,CONFORM_DQ_BKT_MOD,CONFORM_DQ_BKT_MOD
penfed,CONFORM_DOC_TYPE,la_documentation_desc
penfed,CONFORM_INT_RATE_INDEX,ARMIndexDescription
penfed,CONFORM_INT_RATE_TYPE,ARMPlanCode
penfed,CONFORM_LOAN_PURPOSE,la_purpose_desc
penfed,CONFORM_LOAN_TYPE,CONFORM_LOAN_TYPE
penfed,CONFORM_MOD_TYPE,ModificationCode
penfed,CONFORM_OCC_TYPE,OccupancyCode
penfed,CONFORM_PRODUCT_TYPE,ARMPlanCode
penfed,CONFORM_PROPERTY_TYPE,PropertyTypeDescription
