Table Name,Column Name,Column Datatype,Column Null Option,Primary Key
ADV_ACTN,CRDTZIP1,nvarchar(10),NULL,
ADV_ACTN,CRDTPH1,nvarchar(11),NULL,
ADV_ACTN,CRDTAGY2,nvarchar(25),NULL,
ADV_ACTN,CRDT2AD1,nvarchar(35),NULL,
ADV_ACTN,CRDT2AD2,nvarchar(35),NULL,
ADV_ACTN,CRDTCTY2,nvarchar(25),NULL,
ADV_ACTN,CRDTST2,nvarchar(2),NULL,
ADV_ACTN,CRDTZIP2,nvarchar(10),NULL,
ADV_ACTN,CRDTPH2,nvarchar(11),NULL,
ADV_ACTN,CRDTAGY3,nvarchar(25),NULL,
ADV_ACTN,CRDT3AD1,nvarchar(35),NULL,
ADV_ACTN,CRDT3AD2,nvarchar(35),NULL,
ADV_ACTN,CRDTCTY3,nvarchar(25),NULL,
ADV_ACTN,CRDTST3,nvarchar(2),NULL,
ADV_ACTN,CRDTZIP3,nvarchar(10),NULL,
ADV_ACTN,CRDTPH3,nvarchar(11),NULL,
ADV_ACTN,ACTNSN,int,NULL,
ADV_ACTN,ACTNDBID,nvarchar(5),NULL,
ADV_ACTN,CRDTTF1,nvarchar(11),NULL,
ADV_ACTN,COLLECTION,nchar(1),NULL,
ADV_ACTN,FORECLOSURE,nchar(1),NULL,
ADV_ACTN,OTHER2,nchar(1),NULL,
ADV_ACTN,OTHER3,nchar(1),NULL,
ADV_ACTN,OTHER4,nchar(1),NULL,
ADV_ACTN,OTHER5,nchar(1),NULL,
ADV_ACTN,OTHER2DESC,nvarchar(80),NULL,
ADV_ACTN,OTHER3DESC,nvarchar(80),NULL,
ADV_ACTN,OTHER4DESC,nvarchar(80),NULL,
ADV_ACTN,OTHER5DESC,nvarchar(80),NULL,
ADV_ACTN,CREDIT_INQUIRIES,nchar(1),NULL,
ADV_ACTN,MAILED,nchar(1),NULL,
ADV_ACTN,EMAILED,nchar(1),NULL,
ADV_ACTN,DELIVERED,nchar(1),NULL,
ADV_ACTN,INCAPPDBID,nchar(5),NULL,
ADV_ACTN,INCAPPSERNO,int,NULL,
ADV_ACTN,APP_WITHDRAWN,nchar(1),NULL,
ADV_ACTN,NEVER_ON_REQ_TERMS,nchar(1),NULL,
ADV_ACTN,OVRDCRDTAGY1,nvarchar(25),NULL,
ADV_ACTN,OVRDCRDT1AD1,nvarchar(35),NULL,
ADV_ACTN,OVRDCRDT1AD2,nvarchar(35),NULL,
ADV_ACTN,OVRDCRDTCTY1,nvarchar(25),NULL,
ADV_ACTN,OVRDCRDTST1,nvarchar(2),NULL,
ADV_ACTN,OVRDCRDTPH1,nvarchar(11),NULL,
ADV_ACTN,OVRDCRDTZIP1,nvarchar(10),NULL,
ADV_ACTN,MTGINSDECLINED,nchar(1),NULL,
ADV_ACTN,CTL_LOCORCOND,nchar(1),NULL,
ADV_ACTN,CTL_LENSPFICPOL,nvarchar(250),NULL,
ADV_ACTN,REVBALHIGH,nchar(1),NULL,
ADV_ACTN,EXCESSOBLIG,nchar(1),NULL,
ADV_ACTN,IDVERIFY,nchar(1),NULL,
ADV_ACTN,NEWOBLIG,nchar(1),NULL,
ADV_ACTN,NOTELIGCUMEMBER,nchar(1),NULL,
APPREQ,LNUM,nchar(20),NOT NULL,Yes
APPREQ,DBID,nchar(5),NULL,
APPREQ,SERIALNO,int,NULL,
APPREQ,LOTDIM1,"decimal(16,6)",NULL,
APPREQ,LOTDIM2,"decimal(16,6)",NULL,
APPREQ,IRREGLR,nchar(1),NULL,
APPREQ,IRRGDSC,nvarchar(20),NULL,
APPREQ,SQRFEET,"decimal(16,6)",NULL,
APPREQ,ACREAGE,"decimal(16,6)",NULL,
APPREQ,ELECUTL,nchar(1),NULL,
APPREQ,GASUTL,nchar(1),NULL,
APPREQ,WATRUTL,nchar(1),NULL,
APPREQ,SANUTL,nchar(1),NULL,
APPREQ,TTLLIMTS,nvarchar(40),NULL,
APPREQ,STACCESS,nchar(1),NULL,
APPREQ,STMAINT,nchar(1),NULL,
APPREQ,RANGE,nchar(1),NULL,
APPREQ,FRIDGE,nchar(1),NULL,
APPREQ,DISHWASH,nchar(1),NULL,
APPREQ,CLTHWASH,nchar(1),NULL,
APPREQ,DRYER,nchar(1),NULL,
APPREQ,DISPOSAL,nchar(1),NULL,
APPREQ,VENTFAN,nchar(1),NULL,
APPREQ,WWCARPET,nchar(1),NULL,
APPREQ,OTHEREQP,nchar(1),NULL,
APPREQ,OEQPDESC,nvarchar(20),NULL,
APPREQ,BLDSTAT,nchar(1),NULL,
APPREQ,BLDTYPE,nchar(1),NULL,
APPREQ,COMPINSP,nchar(1),NULL,
APPREQ,PLANS,nchar(1),NULL,
APPREQ,WARINC,nchar(1),NULL,
APPREQ,WARNAME,nvarchar(20),NULL,
APPREQ,EXPDATE,datetime,NULL,
APPREQ,CNSTVRF,nchar(1),NULL,
APPREQ,CNSTCOMP,datetime,NULL,
APPREQ,BLDGNUM,int,NULL,
APPREQ,MINRITES,nchar(1),NULL,
APPREQ,PROPOCC,nvarchar(15),NULL,
APPREQ,OWNRNAME,nvarchar(20),NULL,
APPREQ,MNTHRENT,"decimal(18,3)",NULL,
APPREQ,OCCNAME,nvarchar(20),NULL,
APPREQ,HOMEPHN,nvarchar(10),NULL,
APPREQ,BUSPHONE,nvarchar(14),NULL,
APPREQ,KEYSAT,nvarchar(40),NULL,
APPREQ,TIMAVAIL,nvarchar(15),NULL,
APPREQ,AMPMINSP,nchar(1),NULL,
APPREQ,LEASEIS,nvarchar(15),NULL,
APPREQ,ANNRENT,"decimal(18,3)",NULL,
APPREQ,VACONTNO,nvarchar(20),NULL,
APPREQ,PURCHSEP,nchar(1),NULL,
APPREQ,CONATT,nchar(1),NULL,
APPREQ,FACTORY,nchar(1),NULL,
APPREQ,PLANNO,nvarchar(20),NULL,
APPREQ,ESTATE,nchar(1),NULL,
APPREQ,FLOODDESC,nvarchar(10),NULL,
APPREQ,FLOODFLAG,nchar(1),NULL,
APPREQ,WARADDR,nvarchar(40),NULL,
APPREQ,WARPHONE,nvarchar(14),NULL,
APPREQ,MINEXPLAN,nvarchar(20),NULL,
APPREQ,ORIGID,nvarchar(20),NULL,
APPREQ,SPONSID,nvarchar(20),NULL,
APPREQ,INSTCASE,nvarchar(20),NULL,
APPREQ,BRKNAME,nvarchar(20),NULL,
APPREQ,BRKHPHN,nvarchar(10),NULL,
APPREQ,BRKBPHN,nvarchar(14),NULL,
APPREQ,SECNUM,nvarchar(50),NULL,
APPREQ,ASSGNDT,datetime,NULL,
APPREQ,WARADDR2,nvarchar(40),NULL,
APPREQ,WARCITY,nvarchar(40),NULL,
APPREQ,WARSTATE,nchar(2),NULL,
APPREQ,WARZIP,nvarchar(10),NULL,
APPREQ,APPR_B2G_LIC_TYPE,nvarchar(8),NULL,
ARMINFO,LNUM,nchar(20),NOT NULL,Yes
ARMINFO,FLOOR,"decimal(16,6)",NULL,
ARMINFO,CEILING,"decimal(16,6)",NULL,
ARMINFO,MARGIN,"decimal(16,6)",NULL,
ARMINFO,FRCD,datetime,NULL,
ARMINFO,FPCD,datetime,NULL,
ARMINFO,NRCD,datetime,NULL,
ARMINFO,NPCD,datetime,NULL,
ARMINFO,CNVTIBLE,nchar(1),NULL,
ARMINFO,RRCODE,nchar(1),NULL,
ARMINFO,PIRCF,nchar(1),NULL,
ARMINFO,PIRC,"decimal(16,6)",NULL,
ARMINFO,PIRCRDF,nchar(1),NULL,
ARMINFO,PPCF,nchar(1),NULL,
ARMINFO,PPC,"decimal(18,3)",NULL,
ARMINFO,PPCRDF,"decimal(16,6)",NULL,
ARMINFO,PMTINCR,"decimal(16,6)",NULL,
ARMINFO,BALLDATE,datetime,NULL,
ARMINFO,IDX,"decimal(16,6)",NULL,
ARMINFO,PMTCOPT,nchar(1),NULL,
ARMINFO,GEMINC,"decimal(18,3)",NULL,
ARMINFO,GPMINC,"decimal(18,3)",NULL,
ARMINFO,EQUALINC,"decimal(16,6)",NULL,
ARMINFO,OPTMAN,nchar(1),NULL,
ARMINFO,RTROUND,nchar(1),NULL,
ARMINFO,RNDPERC,"decimal(16,6)",NULL,
ARMINFO,EQPCINC,"decimal(16,6)",NULL,
ARMINFO,RATEDCS,int,NULL,
ARMINFO,RATEDCD,nvarchar(5),NULL,
ARMINFO,RATEDCHK,nchar(1),NULL,
ARMINFO,BASEMGN,"decimal(16,6)",NULL,
ARMINFO,BASECEIL,"decimal(16,6)",NULL,
ARMINFO,BASEFLR,"decimal(16,6)",NULL,
ARMINFO,FIR,"decimal(16,6)",NULL,
ARMINFO,MAXRTCAP,"decimal(16,6)",NULL,
ARMINFO,PFRA,smallint,NULL,
ARMINFO,PSRA,smallint,NULL,
ARMINFO,PPPA,smallint,NULL,
ARMINFO,NEGAMCAP,"decimal(16,6)",NULL,
ARMINFO,RCASTTRM,smallint,NULL,
ARMINFO,IDXOVERRIDE,"decimal(16,6)",NULL,
ARMINFO,MAROVERRIDE,"decimal(16,6)",NULL,
ARMINFO,CEILOVERRIDE,"decimal(16,6)",NULL,
ARMINFO,FLROVERRIDE,"decimal(16,6)",NULL,
ARMINFO,ORIGIDXDT,datetime,NULL,
ARMINFO,CURRIDXDT,datetime,NULL,
ARMINFO,IDXDTOVERRIDE,datetime,NULL,
ARMINFO,RTCAPSUBS,"decimal(16,6)",NULL,
ARMINFO,MINRTCAP,"decimal(16,6)",NULL,
ARMINFO,BASEIDX,"decimal(16,6)",NULL,
ARMINFO,MAXFIRSTDEC,"decimal(16,6)",NULL,
ARMINFO,MAXSUBSDEC,"decimal(16,6)",NULL,
ARMINFO,MAXPMTDEC,"decimal(16,6)",NULL,
ARMINFO,CEILFCTR,"decimal(16,6)",NULL,
ARMINFO,FLOORFCTR,"decimal(16,6)",NULL,
ARMINFO,USEOVERRIDE,nchar(1),NULL,
ARMINFO,RTCAPFIRST_OVRD,"decimal(16,6)",NULL,
ARMINFO,RTCAPSUBS_OVRD,"decimal(16,6)",NULL,
ARMINFO,MAXFIRSTDEC_OVRD,"decimal(16,6)",NULL,
ARMINFO,MAXSUBSDEC_OVRD,"decimal(16,6)",NULL,
ARMINFO,MAXRTCAP_OVRD,"decimal(16,6)",NULL,
ARMINFO,MINRTCAP_OVRD,"decimal(16,6)",NULL,
ARMINFO,MAXPMTINC_OVRD,"decimal(18,3)",NULL,
ARMINFO,MAXPMTDEC_OVRD,"decimal(18,3)",NULL,
ARMINFO,NEGAMCAP_OVRD,"decimal(16,6)",NULL,
ARMINFO,PFRA_OVRD,int,NULL,
ARMINFO,PSRA_OVRD,int,NULL,
ARMINFO,PPPA_OVRD,int,NULL,
ARMINFO,RCASTTRM_OVRD,int,NULL,
ARMINFO,CEILINGTYPE_OVRD,nvarchar(20),NULL,
ARMINFO,FLOORTYPE_OVRD,nvarchar(20),NULL,
ARMINFO,RATEROUND_OVRD,nchar(1),NULL,
ARMINFO,PFPADJ_OVRD,int,NULL,
ARMINFO,PFPADJ,int,NULL,
ARMINFO,INTONLYPD,int,NULL,
ARMINFO,INDEX_DATE,datetime,NULL,
ARMINFO,CURDIVSR,"decimal(16,6)",NULL,
ARMINFO,IDXDIVSR,"decimal(16,6)",NULL,
ARMINFO,MAX_1ST_ADJ_RATE,"decimal(16,6)",NULL,
ARMINFO,MIN_1ST_ADJ_RATE,"decimal(16,6)",NULL,
ARMINFO,FIR_MAX_MONTHLY_AMT,"decimal(18,3)",NULL,
ARMINFO,S_FRE_INDEX_TYPE,nvarchar(8),NULL,
ARMINFO,S_FNM_INDEX_TYPE,nvarchar(8),NULL,
ASSETS,LNUM,nchar(20),NOT NULL,Yes
ASSETS,BNUM,smallint,NOT NULL,Yes
ASSETS,DBID,nchar(5),NOT NULL,Yes
ASSETS,ASSETCTR,smallint,NOT NULL,Yes
ASSETS,S_ASSET,nvarchar(8),NULL,
ASSETS,ASSETDSC,nvarchar(100),NULL,
ASSETS,ACCTNUM,nvarchar(35),NULL,
ASSETS,HOLDER,nvarchar(30),NULL,
ASSETS,HADDR1,nvarchar(35),NULL,
ASSETS,HADDR2,nvarchar(35),NULL,
ASSETS,HCITY,nvarchar(25),NULL,
ASSETS,HSTATE,nchar(2),NULL,
ASSETS,HZIP,nvarchar(10),NULL,
ASSETS,HPHONE,nvarchar(11),NULL,
ASSETS,HEXT,nvarchar(5),NULL,
ASSETS,HFAX,nvarchar(11),NULL,
ASSETS,ATTNOF,nvarchar(30),NULL,
ASSETS,ACCTBAL,"decimal(18,3)",NULL,
ASSETS,ACCTIN,nvarchar(30),NULL,
ASSETS,LIFEFACE,"decimal(18,3)",NULL,
ASSETS,VERIFY,nchar(1),NULL,
ASSETS,ISSUER,nvarchar(30),NULL,
ASSETS,SHARES,"decimal(16,6)",NULL,
ASSETS,DIVIDEND,"decimal(18,3)",NULL,
ASSETS,OMIT,nchar(1),NULL,
ASSETS,ASSETVERIFIED,nchar(1),NULL,
ASSETS,AUTO_MAKE_DESC,nvarchar(80),NULL,
ASSETS,AUTO_MODEL_YEAR,nvarchar(4),NULL,
ASSETS,OTHERASSETTYPEDESC,nvarchar(80),NULL,
ASSETS,HCOUNTRY,nvarchar(35),NULL,
ASSETS,ATS_ACCOUNT,nchar(1),NULL,
ASSETS,ODP_ACCOUNT,nchar(1),NULL,
ASSETS,ASSET_VERIFI_TYPE,nvarchar(8),NULL,
ASSETS,ASSET_VERI_TYPE_DESC,nvarchar(80),NULL,
ASSETS,ORDER_CHECK,nchar(1),NULL,
ASSETS,RECORD_CREATED,nvarchar(35),NULL,
ASSETS,FORMFREE_CTR,int,NULL,
ASSETS,BUILDER_EARNEST,nchar(1),NULL,
ASSETS,ASSET_INDICATOR,nchar(1),NULL,
ASSETS,S_ACCOUNT_OWNERSHIP,nvarchar(8),NULL,
ASSETS,S_GIFT_PRVDR_TYPE,nvarchar(8),NULL,
ASSETS,GIFT_PRVDR_OTH_DESC,nvarchar(80),NULL,
ASSETS,GIFT_DEPOSIT_STATUS,nchar(1),NULL,
ASSETSYM,S_HOLDER,nvarchar(8),NOT NULL,Yes
ASSETSYM,HLDRNAME,nvarchar(35),NULL,
ASSETSYM,ADDR1,nvarchar(35),NULL,
ASSETSYM,ADDR2,nvarchar(35),NULL,
ASSETSYM,CITY,nvarchar(25),NULL,
ASSETSYM,STATE,nchar(2),NULL,
ASSETSYM,ZIP,nvarchar(10),NULL,
ASSETSYM,PHONE,nvarchar(11),NULL,
ASSETSYM,PHONEXT,nvarchar(6),NULL,
ASSETSYM,ASSDESC,nvarchar(35),NULL,
ASSETSYM,ATTNOF,nvarchar(35),NULL,
ASSETSYM,FAXNO,nvarchar(10),NULL,
ASSETTYPE,DBCODE,nchar(8),NOT NULL,Yes
ASSETTYPE,TYPE,nchar(1),NULL,
ASSETTYPE,SRCENV,nvarchar(5),NULL,
ASSETTYPE,REC_CUSTOM,nchar(1),NULL,
ASSETTYPE,CREATE_DATE,datetime,NULL,
ASSETTYPE,MODIFY_DATE,datetime,NULL,
ASSETTYPE,ISGIFTORGRANT,nchar(1),NULL,
ASSGNMT,LNUM,nchar(20),NOT NULL,Yes
ASSGNMT,WITNESS1,nvarchar(40),NULL,
ASSGNMT,WIT1_TTL,nvarchar(40),NULL,
ASSGNMT,WITNESS2,nvarchar(40),NULL,
ASSGNMT,WIT2_TTL,nvarchar(40),NULL,
ASSGNMT,ATTSRTTL,nvarchar(40),NULL,
ASSGNMT,OFFCRTIT,nvarchar(40),NULL,
ASSGNMT,NOTRYTTL,nvarchar(40),NULL,
ASSOCDOCS,S_SUNDCON,nvarchar(8),NOT NULL,Yes
ASSOCDOCS,CNTR,int,NOT NULL,Yes
ASSOCDOCS,S_ASSOCDOC,nvarchar(8),NULL,
ASSOCDOCS,SRCENV,nvarchar(5),NULL,
ASSOCDOCS,REC_CUSTOM,nchar(1),NULL,
ASSOCDOCS,CREATE_DATE,datetime,NULL,
ASSOCDOCS,MODIFY_DATE,datetime,NULL,
ASSOCDOCS_BK896602,DBID,nchar(5),NOT NULL,
ASSOCDOCS_BK896602,SERNO,int,NOT NULL,
ASSOCDOCS_BK896602,CNTR,int,NOT NULL,
ASSOCDOCS_BK896602,S_ASSOCDOC,nvarchar(8),NULL,
ASSOCDOCS_BK896602,SRCENV,nvarchar(5),NULL,
ASSOCDOCS_BK896602,REC_CUSTOM,nchar(1),NULL,
ASSOCDOCS_BK896602,CREATE_DATE,datetime,NULL,
ASSOCDOCS_BK896602,MODIFY_DATE,datetime,NULL,
ASSOCWIREINFO,ENTITY_DBCODE,nvarchar(8),NOT NULL,Yes
ASSOCWIREINFO,LENDER_DBCODE,nvarchar(8),NOT NULL,Yes
ASSOCWIREINFO,ACCOUNT_NUMBER,nvarchar(20),NOT NULL,Yes
ASSOCWIREINFO,DBID,nchar(5),NULL,
ASSOCWIREINFO,WIRE_SERIALNUMBER,int,NULL,
ASSOCWIREINFO,STATETAX,"decimal(16,6)",NULL,
ASSOCWIREINFO,ACCINTFACT,int,NULL,
ASSOCWIREINFO,ACCOUNT_NAME,nvarchar(30),NULL,
ATVARTXT,DBID,nchar(5),NOT NULL,Yes
ATVARTXT,SERIALNO,int,NOT NULL,Yes
ATVARTXT,SEQNO,int,NOT NULL,Yes
ATVARTXT,TEXTSEG,nvarchar(80),NULL,
AUINFO,LNUM,nchar(20),NOT NULL,Yes
AUINFO,BGHTDNRT,"decimal(16,6)",NULL,
AUTOGENTASK,S_TASK,nvarchar(8),NOT NULL,Yes
AUTOGENTASK,STEPID,int,NOT NULL,Yes
AUTOGENTASK,STEPTYPE,int,NULL,
AUTOGENTASK,REPEAT,nchar(1),NULL,
AUTOGENTASK,STEPDESC,nvarchar(30),NULL,
AUTOGENTASK,SRCENV,nvarchar(5),NULL,
AUTOGENTASK,REC_CUSTOM,nchar(1),NULL,
AUTOGENTASK,CREATE_DATE,datetime,NULL,
AUTOGENTASK,MODIFY_DATE,datetime,NULL,
AUTOGENTASK_DOC,S_TASK,nvarchar(8),NOT NULL,Yes
AUTOGENTASK_DOC,STEPID,int,NOT NULL,Yes
AUTOGENTASK_DOC,S_DOCMNT,nvarchar(8),NULL,
AUTOGENTASK_DOC,DOCTYPE,int,NULL,
AUTOGENTASK_DOC,DOCACTION,nvarchar(16),NULL,
AUTOGENTASK_DOC,SRCENV,nvarchar(5),NULL,
AUTOGENTASK_DOC,REC_CUSTOM,nchar(1),NULL,
AUTOGENTASK_DOC,CREATE_DATE,datetime,NULL,
AUTOGENTASK_DOC,MODIFY_DATE,datetime,NULL,
AUTOGENTASK_EMAIL,S_TASK,nvarchar(8),NOT NULL,Yes
AUTOGENTASK_EMAIL,STEPID,int,NOT NULL,Yes
AUTOGENTASK_EMAIL,RECIPIENT,nvarchar(50),NULL,
AUTOGENTASK_EMAIL,EMAIL_ADDR,nvarchar(50),NULL,
AUTOGENTASK_EMAIL,MSG_DBID,nchar(5),NULL,
AUTOGENTASK_EMAIL,MSG_SERIALNO,int,NULL,
AUTOGENTASK_EMAIL,SRCENV,nvarchar(5),NULL,
AUTOGENTASK_EMAIL,REC_CUSTOM,nchar(1),NULL,
AUTOGENTASK_EMAIL,CREATE_DATE,datetime,NULL,
AUTOGENTASK_EMAIL,MODIFY_DATE,datetime,NULL,
AUTOGENTASK_MSG,S_TASK,nvarchar(8),NOT NULL,Yes
AUTOGENTASK_MSG,STEPID,int,NOT NULL,Yes
AUTOGENTASK_MSG,MSG_DBID,nchar(5),NULL,
AUTOGENTASK_MSG,MSG_SERIALNO,int,NULL,
AUTOGENTASK_MSG,SRCENV,nvarchar(5),NULL,
AUTOGENTASK_MSG,REC_CUSTOM,nchar(1),NULL,
AUTOGENTASK_MSG,CREATE_DATE,datetime,NULL,
AUTOGENTASK_MSG,MODIFY_DATE,datetime,NULL,
AUTOGENTASK_VB,S_TASK,nvarchar(8),NOT NULL,Yes
AUTOGENTASK_VB,STEPID,int,NOT NULL,Yes
AUTOGENTASK_VB,VB_DBID,nchar(5),NULL,
AUTOGENTASK_VB,VB_SERIALNO,int,NULL,
AUTOGENTASK_VB,SRCENV,nvarchar(5),NULL,
AUTOGENTASK_VB,REC_CUSTOM,nchar(1),NULL,
AUTOGENTASK_VB,CREATE_DATE,datetime,NULL,
AUTOGENTASK_VB,MODIFY_DATE,datetime,NULL,
BATCHRPTS,RPTTOOL,nchar(1),NOT NULL,
BATCHRPTS,S_CRYSRPTS,nvarchar(8),NOT NULL,Yes
BATCHRPTS,RPTFILENM,nvarchar(50),NULL,
BATCHRPTS,BASSOCIATION,nchar(1),NULL,
BATCHRPTS,MACRONAME,nvarchar(50),NULL,
BATCHUPDATE,LNUM,nchar(20),NOT NULL,Yes
BATCHUPDATE,USERID,int,NOT NULL,Yes
BATCHUPDATE,DBID,nchar(5),NOT NULL,Yes
BATCHUPDATE,ROWSERIALNO,int,NOT NULL,Yes
BORDEP,LNUM,nchar(20),NOT NULL,Yes
BORDEP,BNUM,smallint,NOT NULL,Yes
BORDEP,DBID,nchar(5),NOT NULL,Yes
BORDEP,AGES,nvarchar(50),NULL,
BORDEP,AGENCY,nvarchar(25),NULL,
BORDEP,CONTACT,nvarchar(25),NULL,
BORDEP,COST,"decimal(16,6)",NULL,
BORDEP,PAYFLAG,nchar(1),NULL,
