ALIAS||CATEGORY||CREATE_DATE||DBSYMBOL||DESCRIPT||FLDNAME||MISMO_VALUE||MODIFY_DATE||PROFID||REC_CUSTOM||REFCODE||SRCENV||SYMBOLID
"703"||||9/12/2018 4:14:42 PM||"ADP_703"||"203(b) Mutual Mortgage"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"703"||||32
"707"||||9/12/2018 4:14:42 PM||"ADP_707"||"203(k) Escrow Commitment"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"707"||||33
"719"||||9/12/2018 4:14:42 PM||"ADP_719"||"220(h) Improvements"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"719"||||34
"720"||||9/12/2018 4:14:42 PM||"ADP_720"||"220(d)(3) Urban Renewal"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"720"||||35
"729"||||9/12/2018 4:14:42 PM||"ADP_729"||"203(b) Adjustable Rate Mortgage (ARM)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"729"||||36
"730"||||9/12/2018 4:14:42 PM||"ADP_730"||"203(k) Adjustable Rate Mortgage (ARM)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"730"||||37
"731"||||9/12/2018 4:14:42 PM||"ADP_731"||"234(c) Adjustable Rate Mortgage (ARM)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"731"||||38
"734"||||9/12/2018 4:14:42 PM||"ADP_734"||"234(c) Condominium"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"734"||||39
"740"||||9/12/2018 4:14:42 PM||"ADP_740"||"240 Fee Simple Title"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"740"||||40
"741"||||9/12/2018 4:14:42 PM||"ADP_741"||"203(b)/245(a) Graduated Payment Mortgage/Growing Equity Mortgage (GPM/GEM)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"741"||||41
"742"||||9/12/2018 4:14:42 PM||"ADP_742"||"234(c)/245(a) Graduated Payment Mortgage/Growing Equity Mortgage (GPM/GEM)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"742"||||42
"746"||||9/12/2018 4:14:42 PM||"ADP_746"||"235(r) REV Refinance of Ten-year Subsidy Mortgage"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"746"||||43
"753"||||9/12/2018 4:14:42 PM||"ADP_753"||"203(k) Second Lien"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"753"||||44
"755"||||9/12/2018 4:14:42 PM||"ADP_755"||"235(r) REV Refinance (Special Allocation No. 1)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"755"||||45
"756"||||9/12/2018 4:14:42 PM||"ADP_756"||"235(r) REV Refinance (Recap/Special Allocation No. 1)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"756"||||46
"759"||||9/12/2018 4:14:42 PM||"ADP_759"||"203(b) Hawaiian Homelands (HHL)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"759"||||47
"763"||||9/12/2018 4:14:42 PM||"ADP_763"||"203(b)/245(a) Graduated Payment Mortgage/Interest Buy-down (GPM-IBD)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"763"||||48
"765"||||9/12/2018 4:14:42 PM||"ADP_765"||"235(r) REV Homeownership Assistance/Refinance"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"765"||||49
"766"||||9/12/2018 4:14:42 PM||"ADP_766"||"235(r) REV Refinance Recap/Other than Special Allocation No. 1"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"766"||||50
"770"||||9/12/2018 4:14:42 PM||"ADP_770"||"203(b)/245(a) Graduated Payment Mortgage (GPM)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"770"||||51
"771"||||9/12/2018 4:14:42 PM||"ADP_771"||"234(c)/245(a) Graduated Payment Mortgage (GPM)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"771"||||52
"774"||||9/12/2018 4:14:42 PM||"ADP_774"||"203(b)/238(c) Military Impact Area (MIA)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"774"||||53
"776"||||9/12/2018 4:14:42 PM||"ADP_776"||"203(b)/238(c)/245(a) Military Impact Area/Graduated Payment Mortgage (MIA/GPM)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"776"||||54
"777"||||9/12/2018 4:14:42 PM||"ADP_777"||"234(c)/238(c)/245(a) Military Impact Area/Graduated Payment Mortgage (MIA/GPM)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"777"||||55
"779"||||9/12/2018 4:14:42 PM||"ADP_779"||"Other Sections - Military Impact Area (MIA)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"779"||||56
"780"||||9/12/2018 4:14:42 PM||"ADP_780"||"203(b) Hawaiian Homelands/Adjustable Rate Mortgage (HHL/ARM)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"780"||||57
"782"||||9/12/2018 4:14:42 PM||"ADP_782"||"203(b)/245(a) Graduated Payment Mortgage/Indian Lands/GEM (GPM/IL/GEM)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"782"||||58
"783"||||9/12/2018 4:14:42 PM||"ADP_783"||"203(b) Indian Lands (IL)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"783"||||59
"787"||||9/12/2018 4:14:42 PM||"ADP_787"||"203(b)/245(a) Graduated Payment Mortgage/Indian Lands (GPM/IL)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"787"||||60
"788"||||9/12/2018 4:14:42 PM||"ADP_788"||"203(b) Indian Lands/Adjustable Rate Mortgage (IL/ARM)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"788"||||61
"792"||||9/12/2018 4:14:42 PM||"ADP_792"||"203(b) VA CRV 223(e) Mortgage"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"792"||||62
"793"||||9/12/2018 4:14:42 PM||"ADP_793"||"203(b)/245(a) Graduated Payment Mortgage/Hawaiian Homelands (GPM/HHL)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"793"||||63
"796"||||9/12/2018 4:14:42 PM||"ADP_796"||"All MMI Sections Interest Buy-down (excl Coinsurance and 245(a)) (IBD)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"796"||||64
"797"||||9/12/2018 4:14:42 PM||"ADP_797"||"All GI Sections Interest Buy-down (IBD)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"797"||||65
"798"||||9/12/2018 4:14:42 PM||"ADP_798"||"All SRI Sections  Interest Buy-down (IBD)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"798"||||66
"801"||||9/12/2018 4:14:42 PM||"ADP_801"||"203(k) Indian Lands (IL)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"801"||||67
"802"||||9/12/2018 4:14:42 PM||"ADP_802"||"203(k) 223(e)/Direct Endorsement"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"802"||||68
"804"||||9/12/2018 4:14:42 PM||"ADP_804"||"203(k) Condominium"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"804"||||69
"805"||||9/12/2018 4:14:42 PM||"ADP_805"||"203(k) Hawaiian Homelands/Interest Buy-down (HHL/IBD)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"805"||||70
"807"||||9/12/2018 4:14:42 PM||"ADP_807"||"203(k) Energy Efficiency Mortgage (EEM)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"807"||||71
"808"||||9/12/2018 4:14:42 PM||"ADP_808"||"203(k) Hawaiian Homelands (HHL)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"808"||||72
"811"||||9/12/2018 4:14:42 PM||"ADP_811"||"203(b) Hawaiian Homelands/Interest Buy-down (HHL/IBD)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"811"||||73
"812"||||9/12/2018 4:14:42 PM||"ADP_812"||"203(k) Condominium/Interest Buy-down (IBD)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"812"||||74
"813"||||9/12/2018 4:14:42 PM||"ADP_813"||"203(k) Interest Buy-down (IBD)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"813"||||75
"815"||||9/12/2018 4:14:42 PM||"ADP_815"||"203(k) Condominium/Adjustable Rate Mortgage (ARM)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"815"||||76
"829"||||9/12/2018 4:14:42 PM||"ADP_829"||"203(b) 223(e) Adjustable Rate Mortgage (ARM)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"829"||||77
"951"||||9/12/2018 4:14:42 PM||"ADP_951"||"255 Home Equity Conversion Mortgage (HECM) Assignment/Fixed"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"951"||||78
"952"||||9/12/2018 4:14:42 PM||"ADP_952"||"255 Home Equity Conversion Mortgage - Assignment/(ARM)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"952"||||79
"953"||||9/12/2018 4:14:42 PM||"ADP_953"||"255 Home Equity Conversion Mortgage - Shared Premium/Fixed"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"953"||||80
"954"||||9/12/2018 4:14:42 PM||"ADP_954"||"255 Home Equity Conversion Mortgage - Shared Premium/(ARM)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"954"||||81
"956"||||9/12/2018 4:14:42 PM||"ADP_956"||"255 Home Equity Conversion Mortgage - Shared Appreciation/(ARM)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"956"||||83
"957"||||9/12/2018 4:14:42 PM||"ADP_957"||"255 Home Equity Conversion Mortgage - Condominium/Fixed"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"957"||||84
"958"||||9/12/2018 4:14:42 PM||"ADP_958"||"255 Home Equity Conversion Mortgage - Condominium/(ARM)"||"ADP Code"||||6/11/2020 2:21:57 AM||||||"958"||||85
"APPINCMP"||||7/24/2022 10:39:00 PM||"APPINCMP"||"Stores a [Y]es or [N]o flag that indicates whether the credit application is complete."||"AdvActIndReasonRef"||||7/24/2022 10:39:00 PM||||"N"||||"WGS"||31941
"APP_WITHDRAWN"||||7/24/2022 10:39:00 PM||"APPWTHDR"||"A flag for credit application withdrawn"||"AdvActIndReasonRef"||||7/24/2022 10:39:00 PM||||"N"||||"WGS"||31940
"BANKRUPT"||||7/24/2022 10:39:00 PM||"BANKRUPT"||"Stores a [Y]es or [N]o flag that indicates whether the borrower has filed for bankruptcy in the past."||"AdvActIndReasonRef"||||7/24/2022 10:39:00 PM||||"N"||||"WGS"||31942
"CASHLACK"||||7/24/2022 10:39:00 PM||"CASHLACK"||"Stores a [Y]es or [N]o flag that indicates whether the borrower has a lack of cash reserves."||"AdvActIndReasonRef"||||7/24/2022 10:39:00 PM||||"N"||||"WGS"||31943
"CLT_APRL"||||7/24/2022 10:39:00 PM||"CLT_APRL"||"Stores a [Y]es or [N]o flag that indicates whether the appraisal is unacceptable."||"AdvActIndReasonRef"||||7/24/2022 10:39:00 PM||||"N"||||"WGS"||31944
"CLT_DATA"||||7/24/2022 10:39:00 PM||"CLT_DATA"||"Stores a [Y]es or [N]o flag that indicates whether there is insufficient property data."||"AdvActIndReasonRef"||||7/24/2022 10:39:00 PM||||"N"||||"WGS"||31945
"CLT_LEAS"||||7/24/2022 10:39:00 PM||"CLT_LEAS"||"Stores a [Y]es or [N]o flag indicating whether the leasehold estate is unacceptable."||"AdvActIndReasonRef"||||7/24/2022 10:39:00 PM||||"N"||||"WGS"||31946
